// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:52
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=420

StartTime=2023/11/28 07:31:11
EndTime=2023/11/28 07:31:52

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:31:11,0.204,19.855,0.072,0.132,148.877,998.291,-1.710,0.01,0.01,13.56,99.86,9.092,284.147,8.57,
2023/11/28 07:31:11,0.176,19.857,0.073,0.133,150.504,998.291,-1.709,-0.09,-0.09,13.55,99.92,9.098,284.330,8.57,
2023/11/28 07:31:11,0.176,19.857,0.076,0.140,158.404,998.294,-1.707,0.06,0.06,13.64,99.89,9.094,284.210,8.55,
2023/11/28 07:31:11,0.176,19.858,0.080,0.148,166.586,998.297,-1.704,0.16,0.16,13.76,99.82,9.088,284.010,8.56,
2023/11/28 07:31:11,0.176,19.859,0.076,0.140,157.683,998.294,-1.707,0.10,0.10,13.66,99.77,9.082,283.842,8.54,
2023/11/28 07:31:11,0.176,19.860,0.073,0.134,150.710,998.291,-1.710,0.00,0.00,13.50,99.90,9.095,284.243,8.56,
2023/11/28 07:31:11,0.176,19.861,0.072,0.131,148.020,998.290,-1.711,0.05,0.05,13.34,99.84,9.089,284.061,8.53,
2023/11/28 07:31:11,0.176,19.862,0.075,0.137,154.788,998.292,-1.709,0.06,0.06,13.60,99.75,9.081,283.792,8.52,
2023/11/28 07:31:11,0.176,19.863,0.073,0.134,151.130,998.290,-1.711,0.01,0.01,13.90,99.87,9.092,284.129,8.51,
2023/11/28 07:31:11,0.176,19.864,0.074,0.135,152.105,998.291,-1.710,-0.01,-0.01,13.72,99.95,9.097,284.307,8.51,
2023/11/28 07:31:12,0.176,19.865,0.072,0.132,148.616,998.289,-1.712,-0.05,-0.05,13.55,99.86,9.090,284.071,8.51,
2023/11/28 07:31:12,0.176,19.866,0.072,0.131,148.205,998.289,-1.712,-0.04,-0.04,13.68,99.84,9.088,284.027,8.50,
2023/11/28 07:31:12,0.176,19.867,0.095,0.177,199.031,998.306,-1.694,0.05,0.05,13.68,99.98,9.100,284.393,8.52,
2023/11/28 07:31:12,0.176,19.869,0.085,0.156,176.319,998.298,-1.703,0.09,0.09,13.47,99.88,9.092,284.128,8.51,
2023/11/28 07:31:12,0.176,19.870,0.082,0.152,171.127,998.296,-1.705,0.11,0.11,13.31,99.85,9.088,284.028,8.50,
2023/11/28 07:31:12,0.176,19.872,0.098,0.183,205.942,998.308,-1.693,0.03,0.03,13.40,99.83,9.086,283.965,8.50,
2023/11/28 07:31:12,0.176,19.874,0.088,0.163,183.694,998.300,-1.701,-0.04,-0.04,13.56,99.87,9.091,284.104,8.51,
2023/11/28 07:31:12,0.176,19.874,0.093,0.172,193.739,998.303,-1.698,-0.11,-0.11,13.37,99.92,9.096,284.263,8.49,
2023/11/28 07:31:12,0.176,19.874,0.124,0.231,260.212,998.327,-1.674,-0.27,-0.27,13.37,99.91,9.093,284.168,8.51,
2023/11/28 07:31:12,0.176,19.872,0.105,0.196,221.114,998.313,-1.688,-0.06,-0.06,13.60,99.86,9.090,284.065,8.49,
2023/11/28 07:31:13,0.176,19.871,0.093,0.173,195.353,998.304,-1.697,-0.06,-0.06,13.45,99.86,9.090,284.068,8.50,
2023/11/28 07:31:13,0.176,19.871,0.097,0.180,202.463,998.307,-1.694,-0.05,-0.05,13.39,99.86,9.091,284.096,8.50,
2023/11/28 07:31:13,0.176,19.871,0.089,0.164,184.938,998.301,-1.700,-0.20,-0.20,13.45,99.81,9.086,283.961,8.49,
2023/11/28 07:31:13,0.163,19.871,0.091,0.168,189.127,998.302,-1.699,-0.18,-0.18,13.66,99.86,9.090,284.090,8.49,
2023/11/28 07:31:13,0.176,19.872,0.085,0.157,177.395,998.298,-1.703,-0.06,-0.06,13.76,99.71,9.077,283.661,8.50,
2023/11/28 07:31:13,0.176,19.873,0.090,0.167,188.630,998.302,-1.699,-0.01,-0.01,13.60,99.78,9.082,283.845,8.48,
2023/11/28 07:31:13,0.176,19.874,0.085,0.157,176.550,998.297,-1.704,-0.03,-0.03,13.55,99.76,9.080,283.769,8.50,
2023/11/28 07:31:13,0.176,19.876,0.085,0.156,176.275,998.296,-1.704,0.05,0.05,13.44,99.83,9.087,283.979,8.50,
2023/11/28 07:31:13,0.176,19.877,0.080,0.148,167.227,998.293,-1.708,-0.04,-0.04,13.37,99.74,9.079,283.723,8.49,
2023/11/28 07:31:13,0.176,19.879,0.089,0.164,184.942,998.299,-1.702,0.02,0.02,13.39,99.83,9.085,283.931,8.51,
2023/11/28 07:31:14,0.176,19.881,0.085,0.157,176.620,998.296,-1.705,0.06,0.06,13.24,100.00,9.101,284.438,8.50,
2023/11/28 07:31:14,0.176,19.882,0.081,0.149,168.230,998.293,-1.708,-0.09,-0.09,13.37,99.98,9.102,284.442,8.50,
2023/11/28 07:31:14,0.176,19.883,0.080,0.148,166.512,998.292,-1.709,-0.05,-0.05,13.42,99.84,9.087,283.997,8.49,
2023/11/28 07:31:14,0.176,19.886,0.078,0.144,161.854,998.289,-1.711,0.00,0.00,13.56,99.83,9.086,283.940,8.49,
2023/11/28 07:31:14,0.176,19.888,0.081,0.150,168.729,998.291,-1.709,-0.01,-0.01,13.37,99.63,9.067,283.372,8.49,
2023/11/28 07:31:14,0.176,19.890,0.083,0.154,173.533,998.293,-1.708,-0.03,-0.03,13.39,99.72,9.075,283.614,8.49,
2023/11/28 07:31:14,0.176,19.892,0.083,0.154,173.272,998.292,-1.709,0.00,0.00,13.29,99.80,9.084,283.878,8.49,
2023/11/28 07:31:14,0.176,19.893,0.084,0.156,175.939,998.293,-1.708,0.03,0.03,13.18,99.75,9.078,283.692,8.50,
2023/11/28 07:31:14,0.176,19.894,0.095,0.177,199.591,998.301,-1.700,-0.02,-0.02,13.32,99.84,9.085,283.913,8.49,
2023/11/28 07:31:14,0.176,19.893,0.087,0.161,181.585,998.295,-1.706,0.11,0.11,13.48,99.80,9.081,283.804,8.49,
2023/11/28 07:31:15,0.176,19.894,0.087,0.161,181.363,998.295,-1.706,0.15,0.15,13.39,99.83,9.084,283.893,8.48,
2023/11/28 07:31:15,0.190,19.894,0.082,0.152,170.839,998.291,-1.710,0.05,0.05,13.40,99.90,9.092,284.153,8.50,
2023/11/28 07:31:15,0.176,19.893,0.082,0.151,169.933,998.291,-1.710,-0.01,-0.01,13.50,99.88,9.089,284.041,8.50,
2023/11/28 07:31:15,0.176,19.893,0.080,0.148,166.498,998.290,-1.711,0.01,0.01,13.74,99.90,9.091,284.105,8.50,
2023/11/28 07:31:15,0.176,19.895,0.080,0.148,166.343,998.289,-1.712,0.04,0.04,13.39,99.86,9.087,284.001,8.49,
2023/11/28 07:31:15,0.176,19.896,0.109,0.202,228.087,998.311,-1.690,-0.02,-0.02,13.02,99.92,9.092,284.128,8.50,
2023/11/28 07:31:15,0.190,19.897,0.109,0.203,228.941,998.311,-1.690,-0.21,-0.21,13.23,99.89,9.089,284.039,8.50,
2023/11/28 07:31:15,0.176,19.897,0.097,0.180,202.527,998.301,-1.699,-0.10,-0.10,13.42,99.90,9.090,284.087,8.49,
2023/11/28 07:31:15,0.190,19.897,0.100,0.186,209.399,998.304,-1.697,-0.01,-0.01,13.45,99.92,9.090,284.094,8.50,
2023/11/28 07:31:15,0.176,19.897,0.093,0.173,195.014,998.299,-1.702,0.08,0.08,13.21,99.98,9.097,284.314,8.49,
2023/11/28 07:31:16,0.176,19.898,0.088,0.162,182.905,998.294,-1.706,-0.03,-0.03,13.40,100.02,9.100,284.404,8.49,
2023/11/28 07:31:16,0.176,19.900,0.085,0.156,176.151,998.292,-1.709,-0.06,-0.06,13.23,100.04,9.101,284.429,8.50,
2023/11/28 07:31:16,0.190,19.901,0.083,0.153,172.363,998.290,-1.711,0.06,0.06,13.12,99.89,9.087,283.993,8.49,
2023/11/28 07:31:16,0.176,19.902,0.082,0.152,170.909,998.289,-1.712,-0.03,-0.03,13.04,99.82,9.082,283.816,8.50,
2023/11/28 07:31:16,0.176,19.904,0.080,0.147,165.397,998.287,-1.714,-0.09,-0.09,13.31,99.76,9.076,283.636,8.50,
2023/11/28 07:31:16,0.176,19.906,0.078,0.143,161.055,998.285,-1.716,-0.02,-0.02,13.05,99.75,9.074,283.580,8.48,
2023/11/28 07:31:16,0.176,19.908,0.083,0.152,171.737,998.288,-1.712,-0.02,-0.02,13.26,99.85,9.084,283.879,8.51,
2023/11/28 07:31:16,0.176,19.909,0.081,0.150,168.508,998.287,-1.714,-0.02,-0.02,13.28,99.78,9.077,283.669,8.50,
2023/11/28 07:31:16,0.176,19.910,0.080,0.148,166.287,998.286,-1.715,0.00,0.00,13.24,99.80,9.079,283.725,8.50,
2023/11/28 07:31:16,0.176,19.909,0.082,0.152,171.269,998.288,-1.713,-0.08,-0.08,13.20,99.78,9.076,283.643,8.50,
2023/11/28 07:31:17,0.176,19.910,0.081,0.150,169.252,998.287,-1.714,-0.06,-0.06,13.34,99.74,9.073,283.563,8.50,
2023/11/28 07:31:17,0.176,19.911,0.078,0.143,160.842,998.284,-1.717,-0.15,-0.15,13.50,99.75,9.073,283.564,8.49,
2023/11/28 07:31:17,0.176,19.911,0.085,0.157,176.944,998.289,-1.711,-0.09,-0.09,13.37,99.79,9.079,283.740,8.49,
2023/11/28 07:31:17,0.176,19.914,0.085,0.157,177.073,998.289,-1.712,-0.05,-0.05,13.31,99.92,9.091,284.119,8.49,
2023/11/28 07:31:17,0.176,19.915,0.087,0.161,181.640,998.290,-1.710,0.03,0.03,13.07,99.78,9.077,283.668,8.48,
2023/11/28 07:31:17,0.176,19.915,0.084,0.155,174.810,998.288,-1.713,-0.03,-0.03,13.12,99.69,9.069,283.435,8.48,
2023/11/28 07:31:17,0.176,19.915,0.124,0.232,261.146,998.319,-1.682,-0.08,-0.08,13.12,99.76,9.072,283.529,8.47,
2023/11/28 07:31:17,0.176,19.915,0.105,0.195,219.947,998.304,-1.697,-0.02,-0.02,13.13,99.84,9.081,283.806,8.49,
2023/11/28 07:31:17,0.176,19.916,0.096,0.179,201.165,998.297,-1.704,0.09,0.09,12.94,99.81,9.078,283.692,8.50,
2023/11/28 07:31:17,0.176,19.916,0.099,0.185,208.174,998.300,-1.701,-0.01,-0.01,13.07,99.81,9.077,283.686,8.50,
2023/11/28 07:31:18,0.176,19.917,0.100,0.187,210.330,998.300,-1.701,-0.07,-0.07,13.23,99.83,9.078,283.712,8.51,
2023/11/28 07:31:18,0.176,19.918,0.092,0.170,191.797,998.293,-1.707,0.07,0.07,13.40,99.84,9.079,283.729,8.48,
2023/11/28 07:31:18,0.176,19.919,0.087,0.161,181.555,998.290,-1.711,0.02,0.02,13.29,99.67,9.063,283.244,8.50,
2023/11/28 07:31:18,0.163,19.920,0.092,0.170,191.619,998.293,-1.708,0.03,0.03,13.42,99.75,9.070,283.449,8.50,
2023/11/28 07:31:18,0.176,19.921,0.090,0.168,188.731,998.292,-1.709,-0.16,-0.16,13.37,99.81,9.074,283.592,8.49,
2023/11/28 07:31:18,0.176,19.923,0.088,0.163,183.278,998.289,-1.711,-0.08,-0.08,13.10,99.88,9.081,283.808,8.50,
2023/11/28 07:31:18,0.190,19.924,0.082,0.151,169.717,998.284,-1.717,-0.05,-0.05,12.96,99.90,9.084,283.897,8.50,
2023/11/28 07:31:18,0.176,19.926,0.086,0.159,178.611,998.287,-1.714,-0.07,-0.07,13.04,99.85,9.079,283.724,8.50,
2023/11/28 07:31:18,0.190,19.926,0.083,0.153,172.014,998.285,-1.716,-0.02,-0.02,12.94,99.91,9.083,283.863,8.50,
2023/11/28 07:31:18,0.176,19.926,0.083,0.152,171.642,998.285,-1.716,-0.03,-0.03,13.05,99.90,9.083,283.854,8.51,
2023/11/28 07:31:19,0.176,19.926,0.080,0.147,165.255,998.282,-1.718,0.02,0.02,13.08,99.84,9.078,283.708,8.50,
2023/11/28 07:31:19,0.176,19.926,0.082,0.151,170.192,998.284,-1.717,-0.02,-0.02,13.10,99.86,9.079,283.749,8.51,
2023/11/28 07:31:19,0.176,19.924,0.080,0.147,165.498,998.283,-1.718,0.03,0.03,12.83,99.86,9.080,283.753,8.49,
2023/11/28 07:31:19,0.190,19.924,0.077,0.142,160.112,998.281,-1.720,0.00,0.00,12.89,99.86,9.079,283.748,8.50,
2023/11/28 07:31:19,0.176,19.925,0.085,0.158,177.446,998.287,-1.714,0.03,0.03,13.16,99.72,9.067,283.347,8.49,
2023/11/28 07:31:19,0.190,19.925,0.091,0.169,190.616,998.292,-1.709,-0.01,-0.01,13.36,99.73,9.066,283.338,8.49,
2023/11/28 07:31:19,0.176,19.925,0.086,0.159,179.243,998.288,-1.713,-0.01,-0.01,13.07,99.82,9.076,283.644,8.50,
2023/11/28 07:31:19,0.176,19.924,0.085,0.156,176.157,998.287,-1.714,0.02,0.02,13.13,99.72,9.068,283.389,8.50,
2023/11/28 07:31:19,0.176,19.924,0.089,0.165,185.183,998.290,-1.711,0.05,0.05,13.28,99.82,9.076,283.656,8.51,
2023/11/28 07:31:19,0.176,19.924,0.082,0.152,170.608,998.285,-1.716,0.10,0.10,13.05,99.71,9.066,283.343,8.49,
2023/11/28 07:31:20,0.176,19.924,0.079,0.147,164.958,998.283,-1.718,0.07,0.07,13.15,99.84,9.079,283.732,8.49,
2023/11/28 07:31:20,0.176,19.926,0.081,0.149,167.237,998.283,-1.718,0.04,0.04,13.12,99.75,9.070,283.468,8.49,
2023/11/28 07:31:20,0.176,19.928,0.078,0.143,161.302,998.281,-1.720,-0.06,-0.06,13.13,99.70,9.066,283.324,8.50,
2023/11/28 07:31:20,0.176,19.930,0.078,0.144,161.713,998.280,-1.720,-0.01,-0.01,13.21,99.83,9.078,283.692,8.49,
2023/11/28 07:31:20,0.176,19.931,0.081,0.150,169.035,998.283,-1.718,-0.14,-0.14,13.21,99.71,9.065,283.311,8.49,
2023/11/28 07:31:20,0.176,19.931,0.079,0.146,164.432,998.281,-1.720,-0.21,-0.21,13.28,99.80,9.073,283.543,8.48,
2023/11/28 07:31:20,0.176,19.933,0.083,0.154,173.448,998.284,-1.717,-0.09,-0.09,13.28,99.65,9.058,283.081,8.49,
2023/11/28 07:31:20,0.176,19.937,0.131,0.244,274.932,998.319,-1.681,0.02,0.02,13.08,99.62,9.052,282.899,8.49,
2023/11/28 07:31:20,0.176,19.937,0.113,0.211,237.961,998.306,-1.695,0.05,0.05,13.31,99.73,9.065,283.293,8.50,
2023/11/28 07:31:20,0.176,19.937,0.124,0.231,259.937,998.314,-1.687,0.08,0.08,13.16,99.79,9.069,283.418,8.50,
2023/11/28 07:31:21,0.176,19.938,0.116,0.217,244.333,998.308,-1.693,-0.03,-0.03,13.28,99.85,9.075,283.605,8.48,
2023/11/28 07:31:21,0.176,19.937,0.104,0.194,217.963,998.299,-1.702,-0.04,-0.04,13.07,99.86,9.076,283.645,8.50,
2023/11/28 07:31:21,0.176,19.935,0.098,0.182,204.574,998.294,-1.706,-0.09,-0.09,12.99,99.84,9.074,283.578,8.50,
2023/11/28 07:31:21,0.176,19.935,0.094,0.175,196.522,998.292,-1.709,-0.06,-0.06,13.02,99.83,9.073,283.557,8.50,
2023/11/28 07:31:21,0.190,19.935,0.088,0.164,184.520,998.287,-1.713,-0.04,-0.04,12.94,99.94,9.084,283.908,8.49,
2023/11/28 07:31:21,0.176,19.937,0.095,0.177,199.072,998.292,-1.709,-0.03,-0.03,13.15,99.82,9.073,283.562,8.50,
2023/11/28 07:31:21,0.176,19.941,0.095,0.177,198.728,998.291,-1.710,-0.03,-0.03,13.15,99.71,9.062,283.196,8.49,
2023/11/28 07:31:21,0.176,19.943,0.094,0.174,196.022,998.290,-1.711,0.01,0.01,13.10,99.81,9.072,283.529,8.47,
2023/11/28 07:31:21,0.176,19.946,0.092,0.170,191.392,998.288,-1.713,0.12,0.12,12.92,99.80,9.070,283.457,8.50,
2023/11/28 07:31:21,0.176,19.945,0.088,0.163,183.621,998.285,-1.716,0.02,0.02,13.05,99.71,9.062,283.199,8.50,
2023/11/28 07:31:22,0.176,19.946,0.085,0.157,176.287,998.282,-1.719,-0.07,-0.07,13.18,99.81,9.072,283.529,8.48,
2023/11/28 07:31:22,0.176,19.946,0.083,0.153,171.988,998.281,-1.720,-0.12,-0.12,13.15,99.77,9.066,283.317,8.50,
2023/11/28 07:31:22,0.190,19.947,0.081,0.150,168.228,998.279,-1.722,-0.09,-0.09,12.97,99.63,9.054,282.968,8.48,
2023/11/28 07:31:22,0.176,19.947,0.080,0.147,165.636,998.278,-1.723,-0.10,-0.10,12.73,99.77,9.066,283.339,8.50,
2023/11/28 07:31:22,0.176,19.947,0.082,0.152,170.817,998.280,-1.721,-0.03,-0.03,12.73,99.80,9.070,283.441,8.49,
2023/11/28 07:31:22,0.176,19.947,0.080,0.147,165.634,998.278,-1.723,0.01,0.01,13.02,99.77,9.066,283.322,8.50,
2023/11/28 07:31:22,0.176,19.949,0.083,0.154,173.242,998.280,-1.720,0.09,0.09,12.97,99.78,9.067,283.360,8.50,
2023/11/28 07:31:22,0.176,19.951,0.081,0.149,167.844,998.278,-1.723,0.05,0.05,13.07,99.91,9.078,283.717,8.50,
2023/11/28 07:31:22,0.190,19.952,0.081,0.150,169.156,998.279,-1.722,-0.07,-0.07,13.31,99.83,9.072,283.504,8.50,
2023/11/28 07:31:22,0.176,19.953,0.076,0.140,157.122,998.274,-1.727,0.04,0.04,13.28,99.90,9.077,283.682,8.50,
2023/11/28 07:31:23,0.176,19.955,0.080,0.147,165.837,998.277,-1.724,0.15,0.15,12.84,99.82,9.070,283.446,8.50,
