// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:59
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=340

StartTime=2023/11/28 07:33:54
EndTime=2023/11/28 07:34:27

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:33:54,0.204,20.204,0.052,0.093,103.852,998.204,-1.797,-0.27,-0.27,19.08,99.84,9.032,282.278,8.56,
2023/11/28 07:33:54,0.176,20.204,0.052,0.092,103.307,998.203,-1.797,-0.32,-0.32,19.14,99.88,9.036,282.383,8.56,
2023/11/28 07:33:54,0.176,20.200,0.051,0.091,102.066,998.204,-1.797,-0.25,-0.25,18.95,99.75,9.024,282.033,8.56,
2023/11/28 07:33:54,0.176,20.195,0.051,0.092,102.330,998.205,-1.796,-0.14,-0.14,18.71,99.77,9.026,282.076,8.56,
2023/11/28 07:33:54,0.176,20.189,0.051,0.091,101.962,998.206,-1.795,-0.06,-0.06,18.40,99.72,9.024,282.012,8.53,
2023/11/28 07:33:54,0.176,20.181,0.051,0.090,100.907,998.207,-1.793,-0.15,-0.15,18.68,99.64,9.017,281.801,8.54,
2023/11/28 07:33:54,0.176,20.172,0.050,0.090,100.500,998.209,-1.792,-0.10,-0.10,18.24,99.74,9.027,282.123,8.53,
2023/11/28 07:33:54,0.176,20.165,0.050,0.089,100.115,998.210,-1.790,0.06,0.06,17.99,99.74,9.029,282.173,8.50,
2023/11/28 07:33:54,0.176,20.158,0.050,0.089,99.288,998.211,-1.789,0.05,0.05,18.61,99.79,9.033,282.312,8.50,
2023/11/28 07:33:54,0.176,20.154,0.050,0.089,99.335,998.212,-1.788,0.00,0.00,19.92,99.65,9.021,281.919,8.51,
2023/11/28 07:33:55,0.190,20.149,0.050,0.088,98.877,998.213,-1.787,-0.03,-0.03,20.79,99.81,9.035,282.374,8.51,
2023/11/28 07:33:55,0.190,20.149,0.050,0.088,98.793,998.213,-1.787,-0.21,-0.21,20.59,99.96,9.049,282.813,8.50,
2023/11/28 07:33:55,0.176,20.148,0.050,0.088,98.854,998.214,-1.787,-0.30,-0.30,19.27,99.87,9.041,282.557,8.50,
2023/11/28 07:33:55,0.190,20.146,0.050,0.088,98.658,998.214,-1.787,-0.15,-0.15,17.76,99.73,9.029,282.180,8.50,
2023/11/28 07:33:55,0.176,20.144,0.049,0.088,98.464,998.214,-1.787,-0.09,-0.09,16.24,99.65,9.022,281.969,8.51,
2023/11/28 07:33:55,0.176,20.142,0.049,0.088,98.556,998.215,-1.786,-0.05,-0.05,14.91,99.78,9.034,282.337,8.50,
2023/11/28 07:33:55,0.176,20.140,0.050,0.088,98.680,998.215,-1.786,0.15,0.15,13.29,99.68,9.025,282.048,8.51,
2023/11/28 07:33:55,0.176,20.136,0.049,0.088,98.525,998.216,-1.785,0.22,0.22,11.63,99.79,9.036,282.379,8.49,
