// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:29
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=320

StartTime=2023/11/28 07:22:05
EndTime=2023/11/28 07:22:36

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:22:05,0.190,19.762,0.064,0.116,131.373,998.304,-1.697,-0.01,-0.01,6.99,99.95,9.119,284.982,8.57,
2023/11/28 07:22:05,0.176,19.760,0.064,0.116,130.641,998.304,-1.697,0.13,0.13,6.87,100.03,9.125,285.178,8.58,
2023/11/28 07:22:05,0.176,19.760,0.064,0.116,130.620,998.304,-1.697,0.13,0.13,7.02,99.90,9.113,284.807,8.56,
2023/11/28 07:22:05,0.176,19.759,0.064,0.115,130.534,998.304,-1.696,0.19,0.19,7.14,99.98,9.121,285.062,8.55,
2023/11/28 07:22:05,0.176,19.758,0.063,0.115,130.051,998.305,-1.696,0.23,0.23,7.08,100.03,9.126,285.196,8.55,
2023/11/28 07:22:05,0.176,19.756,0.063,0.115,129.715,998.305,-1.696,0.27,0.27,7.11,99.93,9.117,284.930,8.53,
2023/11/28 07:22:05,0.176,19.756,0.063,0.115,129.489,998.305,-1.696,0.21,0.21,7.13,99.92,9.116,284.895,8.52,
2023/11/28 07:22:05,0.176,19.754,0.063,0.114,129.189,998.305,-1.696,0.18,0.18,7.22,99.94,9.117,284.931,8.54,
2023/11/28 07:22:05,0.176,19.753,0.063,0.114,128.889,998.305,-1.696,0.09,0.09,7.27,99.88,9.112,284.781,8.53,
2023/11/28 07:22:05,0.176,19.753,0.063,0.114,128.912,998.305,-1.696,0.10,0.10,7.07,99.92,9.116,284.895,8.52,
2023/11/28 07:22:06,0.176,19.755,0.063,0.114,128.620,998.305,-1.696,0.12,0.12,6.95,99.89,9.113,284.790,8.53,
2023/11/28 07:22:06,0.176,19.757,0.063,0.114,128.526,998.304,-1.697,0.13,0.13,7.10,99.91,9.116,284.878,8.52,
2023/11/28 07:22:06,0.176,19.757,0.063,0.113,128.283,998.304,-1.697,0.03,0.03,7.11,99.92,9.116,284.887,8.52,
2023/11/28 07:22:06,0.176,19.758,0.063,0.113,128.133,998.304,-1.697,0.08,0.08,7.07,99.88,9.112,284.772,8.50,
2023/11/28 07:22:06,0.176,19.761,0.063,0.113,127.926,998.303,-1.698,0.12,0.12,7.05,99.80,9.105,284.535,8.52,
2023/11/28 07:22:06,0.176,19.763,0.062,0.113,127.839,998.303,-1.698,0.21,0.21,6.99,99.85,9.111,284.727,8.53,
2023/11/28 07:22:06,0.176,19.762,0.063,0.113,127.949,998.303,-1.698,0.16,0.16,6.83,99.99,9.123,285.107,8.51,
2023/11/28 07:22:06,0.176,19.760,0.062,0.113,127.596,998.303,-1.698,0.17,0.17,6.92,99.95,9.121,285.034,8.49,
2023/11/28 07:22:06,0.176,19.759,0.063,0.115,129.480,998.304,-1.697,0.15,0.15,6.80,99.97,9.121,285.052,8.50,
