// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:32
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=310

StartTime=2023/11/28 07:23:45
EndTime=2023/11/28 07:24:15

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:23:45,0.190,19.748,0.062,0.113,127.334,998.306,-1.695,0.09,0.09,9.53,99.97,9.120,285.004,8.58,
2023/11/28 07:23:45,0.163,19.746,0.062,0.111,125.665,998.305,-1.695,0.08,0.08,9.58,99.86,9.109,284.671,8.55,
2023/11/28 07:23:45,0.176,19.744,0.062,0.113,127.670,998.306,-1.694,0.07,0.07,9.45,99.87,9.110,284.705,8.55,
2023/11/28 07:23:45,0.176,19.743,0.062,0.113,127.701,998.307,-1.694,0.01,0.01,9.26,99.84,9.108,284.634,8.55,
2023/11/28 07:23:45,0.176,19.741,0.061,0.111,125.575,998.306,-1.695,0.03,0.03,8.97,99.83,9.107,284.600,8.53,
2023/11/28 07:23:45,0.176,19.740,0.061,0.110,124.595,998.306,-1.695,0.03,0.03,8.83,99.93,9.116,284.883,8.54,
2023/11/28 07:23:45,0.176,19.739,0.061,0.110,123.960,998.306,-1.695,0.00,0.00,8.73,99.90,9.113,284.804,8.56,
2023/11/28 07:23:45,0.176,19.740,0.061,0.110,124.082,998.306,-1.695,0.02,0.02,8.80,99.88,9.111,284.734,8.51,
2023/11/28 07:23:45,0.176,19.739,0.061,0.110,123.944,998.306,-1.695,0.03,0.03,8.51,99.99,9.121,285.060,8.53,
2023/11/28 07:23:45,0.163,19.737,0.061,0.109,123.486,998.306,-1.694,0.06,0.06,8.59,99.88,9.111,284.750,8.51,
2023/11/28 07:23:46,0.176,19.738,0.060,0.108,122.648,998.306,-1.695,0.05,0.05,8.65,99.83,9.108,284.627,8.51,
2023/11/28 07:23:46,0.176,19.739,0.060,0.109,123.102,998.306,-1.695,0.12,0.12,8.72,99.84,9.107,284.603,8.51,
2023/11/28 07:23:46,0.176,19.739,0.060,0.108,122.034,998.306,-1.695,0.05,0.05,8.67,99.86,9.109,284.682,8.50,
2023/11/28 07:23:46,0.163,19.740,0.060,0.108,122.557,998.305,-1.695,0.03,0.03,8.97,99.84,9.106,284.595,8.50,
2023/11/28 07:23:46,0.176,19.742,0.060,0.108,122.224,998.305,-1.696,-0.02,-0.02,8.83,99.82,9.105,284.552,8.51,
2023/11/28 07:23:46,0.176,19.744,0.060,0.108,122.564,998.305,-1.696,0.05,0.05,8.76,99.84,9.106,284.587,8.53,
2023/11/28 07:23:46,0.176,19.745,0.060,0.108,122.014,998.304,-1.697,0.08,0.08,8.73,99.85,9.108,284.648,8.49,
2023/11/28 07:23:46,0.176,19.746,0.060,0.108,121.635,998.304,-1.697,0.03,0.03,8.62,99.83,9.106,284.570,8.52,
2023/11/28 07:23:46,0.176,19.746,0.060,0.108,121.894,998.304,-1.697,0.03,0.03,8.53,99.89,9.111,284.746,8.51,
2023/11/28 07:23:46,0.176,19.745,0.060,0.108,121.825,998.304,-1.697,0.02,0.02,8.61,99.83,9.105,284.561,8.51,
2023/11/28 07:23:47,0.176,19.744,0.060,0.108,122.124,998.305,-1.696,0.03,0.03,8.72,99.82,9.105,284.534,8.50,
2023/11/28 07:23:47,0.176,19.743,0.060,0.108,121.617,998.305,-1.696,0.01,0.01,8.67,99.84,9.105,284.562,8.50,
2023/11/28 07:23:47,0.176,19.743,0.059,0.107,121.062,998.304,-1.696,-0.02,-0.02,8.61,100.03,9.125,285.160,8.50,
2023/11/28 07:23:47,0.163,19.743,0.062,0.112,126.369,998.306,-1.695,0.02,0.02,9.07,100.04,9.125,285.167,8.50,
2023/11/28 07:23:47,0.176,19.744,0.061,0.111,125.124,998.306,-1.695,-0.06,-0.06,8.89,100.10,9.130,285.345,8.52,
2023/11/28 07:23:47,0.163,19.746,0.061,0.110,124.107,998.305,-1.696,0.02,0.02,8.92,100.14,9.133,285.435,8.50,
2023/11/28 07:23:47,0.163,19.747,0.061,0.110,124.598,998.305,-1.696,0.10,0.10,8.84,100.01,9.122,285.071,8.50,
2023/11/28 07:23:47,0.163,19.747,0.060,0.109,122.694,998.304,-1.697,0.00,0.00,8.83,100.01,9.122,285.073,8.50,
2023/11/28 07:23:47,0.176,19.748,0.060,0.108,122.486,998.304,-1.697,-0.02,-0.02,9.02,100.04,9.124,285.152,8.49,
2023/11/28 07:23:47,0.176,19.748,0.063,0.113,127.877,998.306,-1.695,-0.06,-0.06,9.48,99.97,9.117,284.929,8.50,
2023/11/28 07:23:48,0.176,19.749,0.062,0.111,125.710,998.305,-1.696,-0.03,-0.03,9.16,99.95,9.115,284.877,8.50,
2023/11/28 07:23:48,0.163,19.749,0.061,0.110,124.194,998.304,-1.697,-0.08,-0.08,8.91,99.80,9.102,284.454,8.49,
2023/11/28 07:23:48,0.176,19.749,0.061,0.109,123.587,998.304,-1.697,-0.07,-0.07,8.99,99.83,9.105,284.543,8.49,
2023/11/28 07:23:48,0.163,19.749,0.061,0.110,124.527,998.304,-1.696,0.00,0.00,9.02,99.86,9.107,284.621,8.51,
2023/11/28 07:23:48,0.176,19.749,0.063,0.113,128.028,998.306,-1.695,0.04,0.04,9.31,99.82,9.105,284.539,8.51,
