// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:39
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=340

StartTime=2023/11/28 07:26:57
EndTime=2023/11/28 07:27:30

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:26:57,0.190,19.783,0.074,0.135,152.647,998.307,-1.694,0.11,0.11,11.09,99.90,9.108,284.657,8.57,
2023/11/28 07:26:57,0.176,19.785,0.078,0.143,161.320,998.310,-1.691,-0.03,-0.03,11.09,99.87,9.106,284.570,8.56,
2023/11/28 07:26:57,0.176,19.784,0.078,0.143,161.425,998.310,-1.691,-0.02,-0.02,10.98,99.77,9.097,284.288,8.55,
2023/11/28 07:26:57,0.176,19.783,0.074,0.136,153.282,998.307,-1.693,0.02,0.02,11.28,99.79,9.099,284.347,8.54,
2023/11/28 07:26:57,0.176,19.784,0.073,0.134,151.163,998.307,-1.694,0.15,0.15,11.07,99.83,9.103,284.498,8.52,
2023/11/28 07:26:57,0.163,19.786,0.071,0.130,146.801,998.305,-1.696,0.11,0.11,10.96,100.00,9.118,284.961,8.54,
2023/11/28 07:26:57,0.176,19.788,0.071,0.129,145.972,998.304,-1.697,0.15,0.15,11.11,99.90,9.108,284.638,8.56,
2023/11/28 07:26:57,0.176,19.789,0.071,0.129,146.195,998.304,-1.697,0.09,0.09,11.11,99.86,9.105,284.547,8.53,
2023/11/28 07:26:57,0.176,19.789,0.071,0.130,147.137,998.304,-1.697,0.11,0.11,11.14,99.83,9.101,284.433,8.53,
2023/11/28 07:26:57,0.176,19.790,0.071,0.129,146.237,998.304,-1.697,0.07,0.07,11.28,99.83,9.102,284.451,8.52,
2023/11/28 07:26:58,0.176,19.791,0.071,0.130,146.732,998.304,-1.697,-0.08,-0.08,11.17,99.84,9.102,284.461,8.51,
2023/11/28 07:26:58,0.176,19.791,0.075,0.137,154.254,998.306,-1.695,-0.05,-0.05,11.23,99.89,9.106,284.579,8.50,
2023/11/28 07:26:58,0.176,19.792,0.076,0.139,156.733,998.307,-1.694,0.03,0.03,11.14,99.89,9.106,284.594,8.51,
2023/11/28 07:26:58,0.176,19.791,0.074,0.135,152.272,998.305,-1.695,0.05,0.05,11.33,99.92,9.110,284.703,8.50,
2023/11/28 07:26:58,0.176,19.789,0.075,0.137,154.283,998.307,-1.694,0.04,0.04,11.17,100.04,9.121,285.045,8.50,
2023/11/28 07:26:58,0.176,19.788,0.074,0.136,153.393,998.306,-1.694,0.02,0.02,10.98,99.97,9.115,284.851,8.51,
2023/11/28 07:26:58,0.176,19.784,0.073,0.134,151.181,998.306,-1.694,0.05,0.05,11.06,99.89,9.107,284.623,8.50,
2023/11/28 07:26:58,0.176,19.782,0.075,0.138,155.368,998.308,-1.693,0.09,0.09,11.09,99.85,9.104,284.523,8.51,
2023/11/28 07:26:58,0.176,19.783,0.074,0.136,153.647,998.308,-1.693,0.09,0.09,10.98,99.78,9.097,284.304,8.51,
2023/11/28 07:26:58,0.176,19.787,0.074,0.136,153.920,998.307,-1.694,0.01,0.01,10.91,99.84,9.102,284.446,8.49,
2023/11/28 07:26:59,0.176,19.792,0.073,0.134,151.371,998.305,-1.696,-0.01,-0.01,10.96,99.79,9.097,284.300,8.53,
2023/11/28 07:26:59,0.176,19.798,0.074,0.135,152.585,998.304,-1.697,-0.01,-0.01,11.03,99.91,9.107,284.609,8.50,
2023/11/28 07:26:59,0.176,19.800,0.073,0.134,151.443,998.303,-1.698,0.02,0.02,11.11,99.85,9.100,284.408,8.51,
2023/11/28 07:26:59,0.176,19.803,0.072,0.132,148.718,998.302,-1.699,0.11,0.11,11.14,99.94,9.110,284.700,8.50,
2023/11/28 07:26:59,0.176,19.804,0.071,0.129,146.071,998.301,-1.700,0.07,0.07,11.04,99.86,9.103,284.480,8.50,
2023/11/28 07:26:59,0.176,19.804,0.070,0.128,144.792,998.300,-1.701,0.14,0.14,11.07,99.84,9.101,284.429,8.50,
2023/11/28 07:26:59,0.176,19.804,0.069,0.127,143.030,998.300,-1.701,0.22,0.22,11.06,99.69,9.088,284.007,8.50,
2023/11/28 07:26:59,0.176,19.803,0.068,0.125,140.787,998.299,-1.702,0.13,0.13,10.95,99.79,9.095,284.240,8.50,
2023/11/28 07:26:59,0.176,19.804,0.068,0.124,140.487,998.299,-1.702,0.09,0.09,10.91,99.80,9.097,284.285,8.50,
2023/11/28 07:26:59,0.176,19.807,0.068,0.123,139.231,998.298,-1.703,0.11,0.11,11.14,99.91,9.106,284.594,8.49,
