// JOGOS
// Version 1.01
// File Date:2023/11/29 16:55:10
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=8090

StartTime=2023/11/28 11:29:01
EndTime=2023/11/28 11:42:29

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 11:29:01,0.217,22.129,0.039,0.069,73.526,997.773,-2.228,-0.27,-0.27,14.78,100.46,8.784,274.528,8.57,
2023/11/28 11:29:01,0.190,22.142,0.039,0.069,73.468,997.770,-2.231,-0.02,-0.02,12.65,100.52,8.789,274.669,8.57,
2023/11/28 11:29:01,0.204,22.157,0.039,0.069,73.385,997.767,-2.234,-0.09,-0.09,12.06,100.54,8.790,274.690,8.55,
2023/11/28 11:29:01,0.204,22.171,0.039,0.069,73.401,997.764,-2.237,-0.25,-0.25,17.33,100.68,8.801,275.053,8.55,
2023/11/28 11:29:01,0.204,22.184,0.039,0.069,73.751,997.761,-2.240,-0.50,-0.50,20.92,100.59,8.793,274.812,8.54,
2023/11/28 11:29:01,0.204,22.198,0.039,0.069,73.572,997.758,-2.243,-0.09,-0.09,22.93,100.53,8.787,274.616,8.54,
2023/11/28 11:29:01,0.204,22.213,0.039,0.069,73.389,997.754,-2.247,-0.15,-0.15,23.92,100.71,8.802,275.068,8.54,
2023/11/28 11:29:01,0.204,22.220,0.039,0.069,73.396,997.752,-2.249,-0.42,-0.42,26.31,100.65,8.797,274.929,8.53,
2023/11/28 11:29:01,0.204,22.226,0.039,0.069,73.542,997.751,-2.250,-0.36,-0.36,28.08,100.63,8.795,274.869,8.53,
2023/11/28 11:29:01,0.204,22.235,0.039,0.069,73.489,997.749,-2.252,-0.50,-0.50,29.19,100.56,8.788,274.646,8.52,
2023/11/28 11:29:02,0.204,22.241,0.039,0.069,73.499,997.748,-2.253,-0.50,-0.50,29.64,100.49,8.782,274.467,8.53,
2023/11/28 11:29:02,0.204,22.249,0.039,0.069,73.308,997.746,-2.255,-0.66,-0.66,29.66,100.55,8.787,274.597,8.50,
2023/11/28 11:29:02,0.204,22.254,0.039,0.069,73.300,997.745,-2.256,-0.49,-0.49,29.14,100.46,8.779,274.357,8.51,
2023/11/28 11:29:02,0.190,22.259,0.039,0.069,73.388,997.743,-2.257,-0.58,-0.58,29.38,100.33,8.769,274.042,8.52,
2023/11/28 11:29:02,0.204,22.259,0.039,0.069,73.408,997.743,-2.258,-0.50,-0.50,29.03,100.40,8.777,274.288,8.50,
2023/11/28 11:29:02,0.204,22.248,0.039,0.069,73.740,997.746,-2.255,-0.80,-0.80,29.51,100.63,8.797,274.914,8.50,
2023/11/28 11:29:02,0.204,22.245,0.039,0.069,73.413,997.747,-2.254,-0.63,-0.63,29.58,100.53,8.789,274.671,8.51,
2023/11/28 11:29:02,0.204,22.236,0.039,0.069,73.272,997.749,-2.252,-0.71,-0.71,29.20,100.50,8.786,274.569,8.50,
