// JOGOS
// Version 1.01
// File Date:2023/11/29 16:59:14
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=7810

StartTime=2023/11/28 13:24:31
EndTime=2023/11/28 13:37:31

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 13:24:31,0.176,20.344,0.077,0.142,158.320,998.193,-1.808,1.15,1.15,2.62,99.42,8.963,280.125,8.50,
2023/11/28 13:24:31,0.163,20.304,0.082,0.153,170.156,998.206,-1.795,0.87,0.87,1.80,99.42,8.958,279.970,8.49,
2023/11/28 13:24:31,0.163,20.265,0.084,0.156,173.999,998.215,-1.786,0.61,0.61,1.12,99.26,8.946,279.565,8.48,
2023/11/28 13:24:31,0.163,20.233,0.085,0.159,177.488,998.223,-1.778,0.44,0.44,1.01,99.19,8.941,279.413,8.48,
2023/11/28 13:24:31,0.163,20.209,0.087,0.162,181.387,998.229,-1.771,0.66,0.66,1.34,99.27,8.952,279.781,8.48,
2023/11/28 13:24:31,0.163,20.186,0.088,0.164,183.742,998.235,-1.766,0.70,0.70,0.74,99.40,8.970,280.323,8.46,
2023/11/28 13:24:31,0.163,20.161,0.087,0.163,182.088,998.240,-1.761,0.40,0.40,0.82,99.45,8.980,280.635,8.45,
2023/11/28 13:24:31,0.163,20.139,0.087,0.161,180.469,998.244,-1.757,0.60,0.60,1.13,99.47,8.985,280.786,8.46,
2023/11/28 13:24:31,0.163,20.121,0.087,0.162,181.436,998.248,-1.753,0.80,0.80,1.59,99.67,9.005,281.433,8.43,
2023/11/28 13:24:31,0.176,20.100,0.094,0.175,195.899,998.257,-1.744,-0.52,-0.52,6.46,99.53,9.004,281.399,8.45,
2023/11/28 13:24:32,0.190,19.842,14.611,21.659,24431.057,1009.318,9.317,-1.40,-1.40,17.28,97.76,8.214,256.701,8.43,
2023/11/28 13:24:32,0.231,19.393,21.794,30.884,35229.688,1014.867,14.866,0.61,0.61,16.62,95.05,7.705,240.790,8.44,
2023/11/28 13:24:32,0.271,19.139,21.072,29.789,34198.887,1014.379,14.378,0.99,0.99,17.76,91.88,7.501,234.423,8.43,
2023/11/28 13:24:32,0.299,19.019,25.771,35.654,41055.313,1017.980,17.979,2.06,2.06,17.84,88.81,7.058,220.568,8.43,
2023/11/28 13:24:32,0.339,18.957,25.929,35.802,41291.268,1018.115,18.113,2.13,2.13,16.77,86.07,6.838,213.705,8.45,
2023/11/28 13:24:32,0.394,18.925,25.678,35.464,40934.894,1017.932,17.930,2.12,2.12,16.30,83.78,6.668,208.387,8.45,
2023/11/28 13:24:32,0.461,18.906,25.674,35.445,40932.711,1017.934,17.932,2.16,2.16,15.84,81.64,6.500,203.146,8.43,
2023/11/28 13:24:32,0.543,18.893,25.923,35.746,41293.421,1018.127,18.125,2.12,2.12,15.77,79.79,6.344,198.266,8.44,
2023/11/28 13:24:32,0.638,18.882,25.929,35.745,41303.793,1018.135,18.132,2.22,2.22,15.98,78.09,6.211,194.095,8.43,
2023/11/28 13:24:32,0.746,18.876,25.929,35.740,41304.678,1018.137,18.133,2.22,2.22,16.08,76.47,6.082,190.089,8.44,
2023/11/28 13:24:33,0.855,18.872,25.936,35.745,41315.527,1018.144,18.140,2.38,2.38,15.92,74.90,5.958,186.211,8.44,
2023/11/28 13:24:33,0.977,18.868,25.945,35.753,41328.455,1018.151,18.147,2.45,2.45,16.16,73.38,5.838,182.434,8.43,
2023/11/28 13:24:33,1.086,18.866,25.973,35.787,41369.863,1018.174,18.169,2.54,2.54,16.25,72.00,5.727,178.995,8.45,
2023/11/28 13:24:33,1.208,18.849,26.047,35.865,41477.509,1018.234,18.229,2.75,2.75,16.21,70.71,5.624,175.773,8.41,
2023/11/28 13:24:33,1.330,18.822,26.144,35.964,41621.117,1018.315,18.309,2.95,2.95,16.75,69.62,5.537,173.056,8.43,
2023/11/28 13:24:33,1.438,18.794,26.264,36.091,41798.308,1018.414,18.408,3.33,3.33,17.84,68.65,5.460,170.625,8.41,
2023/11/28 13:24:33,1.574,18.741,26.493,36.334,42135.551,1018.602,18.595,3.54,3.54,17.92,67.79,5.389,168.429,8.43,
2023/11/28 13:24:33,1.655,18.680,26.659,36.490,42383.691,1018.743,18.736,3.51,3.51,17.67,66.97,5.326,166.444,8.43,
2023/11/28 13:24:33,1.778,18.631,26.804,36.630,42599.147,1018.866,18.858,3.34,3.34,17.23,66.16,5.262,164.435,8.41,
2023/11/28 13:24:33,1.900,18.599,26.900,36.724,42742.186,1018.947,18.939,3.19,3.19,16.61,65.42,5.202,162.580,8.45,
2023/11/28 13:24:34,2.008,18.562,27.075,36.909,42999.078,1019.090,19.081,2.92,2.92,15.93,64.63,5.139,160.608,8.42,
2023/11/28 13:24:34,2.130,18.509,27.375,37.234,43435.935,1019.331,19.322,2.75,2.75,15.15,63.90,5.079,158.718,8.45,
2023/11/28 13:24:34,2.239,18.438,27.587,37.436,43751.820,1019.511,19.501,2.57,2.57,14.49,63.14,5.018,156.834,8.41,
2023/11/28 13:24:34,2.348,18.380,27.806,37.655,44074.550,1019.692,19.682,2.45,2.45,14.17,62.34,4.953,154.787,8.45,
2023/11/28 13:24:34,2.470,18.317,27.982,37.818,44336.397,1019.842,19.831,2.27,2.27,13.66,61.61,4.895,152.972,8.43,
2023/11/28 13:24:34,2.592,18.239,28.482,38.360,45063.236,1020.243,20.231,2.16,2.16,12.69,60.93,4.835,151.101,8.45,
2023/11/28 13:24:34,2.700,18.134,28.975,38.867,45782.563,1020.644,20.632,2.08,2.08,11.98,60.20,4.772,149.142,8.43,
2023/11/28 13:24:34,2.809,18.033,29.310,39.185,46277.783,1020.925,20.912,1.96,1.96,11.39,59.52,4.717,147.427,8.41,
2023/11/28 13:24:34,2.917,17.956,29.524,39.375,46596.447,1021.107,21.094,1.85,1.85,10.75,58.85,4.665,145.796,8.43,
2023/11/28 13:24:34,3.026,17.893,29.685,39.513,46836.518,1021.245,21.232,1.75,1.75,9.50,58.15,4.610,144.058,8.45,
2023/11/28 13:24:35,3.148,17.838,29.928,39.755,47190.375,1021.444,21.430,1.68,1.68,8.62,57.38,4.547,142.090,8.43,
2023/11/28 13:24:35,3.270,17.792,30.086,39.904,47424.432,1021.577,21.562,1.57,1.57,8.43,56.63,4.487,140.235,8.43,
2023/11/28 13:24:35,3.379,17.751,30.293,40.114,47724.815,1021.745,21.730,1.57,1.57,8.45,55.97,4.433,138.549,8.41,
2023/11/28 13:24:35,3.487,17.707,30.461,40.274,47970.684,1021.884,21.869,1.61,1.61,9.45,55.36,4.384,137.007,8.45,
2023/11/28 13:24:35,3.609,17.676,30.601,40.413,48175.480,1021.999,21.983,1.60,1.60,9.83,54.79,4.339,135.589,8.41,
2023/11/28 13:24:35,3.718,17.647,30.718,40.525,48346.831,1022.096,22.080,1.53,1.53,9.94,54.29,4.298,134.332,8.43,
2023/11/28 13:24:35,3.840,17.623,30.759,40.554,48409.880,1022.134,22.117,1.54,1.54,8.70,53.84,4.263,133.242,8.44,
2023/11/28 13:24:35,3.949,17.610,30.771,40.556,48429.495,1022.147,22.129,1.54,1.54,8.02,53.49,4.236,132.369,8.43,
2023/11/28 13:24:35,4.071,17.602,30.778,40.557,48440.638,1022.154,22.136,1.45,1.45,7.78,53.10,4.205,131.413,8.45,
2023/11/28 13:24:35,4.179,17.598,30.776,40.551,48438.152,1022.154,22.135,1.51,1.51,8.56,52.81,4.183,130.716,8.41,
2023/11/28 13:24:36,4.302,17.595,30.775,40.547,48438.510,1022.155,22.136,1.59,1.59,9.37,52.64,4.169,130.290,8.44,
2023/11/28 13:24:36,4.410,17.592,30.777,40.547,48441.617,1022.157,22.138,1.61,1.61,10.10,52.38,4.149,129.654,8.45,
2023/11/28 13:24:36,4.532,17.591,30.780,40.549,48446.227,1022.161,22.140,1.67,1.67,9.80,52.11,4.127,128.990,8.44,
2023/11/28 13:24:36,4.654,17.590,30.779,40.548,48444.856,1022.160,22.140,1.69,1.69,9.23,51.93,4.113,128.533,8.44,
2023/11/28 13:24:36,4.776,17.590,30.781,40.549,48447.185,1022.162,22.141,1.62,1.62,9.19,51.72,4.097,128.031,8.41,
2023/11/28 13:24:36,4.899,17.589,30.779,40.547,48445.482,1022.162,22.140,1.68,1.68,9.75,51.50,4.079,127.484,8.43,
2023/11/28 13:24:36,5.034,17.589,30.779,40.547,48445.347,1022.162,22.140,1.70,1.70,10.23,51.33,4.066,127.079,8.41,
2023/11/28 13:24:36,5.143,17.588,30.780,40.547,48447.299,1022.164,22.141,1.66,1.66,10.28,51.26,4.060,126.892,8.45,
2023/11/28 13:24:36,5.265,17.589,30.778,40.546,48444.727,1022.163,22.140,1.69,1.69,9.85,51.10,4.048,126.505,8.44,
2023/11/28 13:24:36,5.360,17.589,30.775,40.543,48440.377,1022.161,22.137,1.66,1.66,10.69,50.98,4.038,126.208,8.44,
2023/11/28 13:24:37,5.441,17.588,30.777,40.543,48442.304,1022.163,22.138,1.78,1.78,10.56,50.84,4.027,125.854,8.45,
2023/11/28 13:24:37,5.523,17.586,30.781,40.546,48448.340,1022.166,22.142,1.82,1.82,10.91,50.77,4.021,125.673,8.43,
2023/11/28 13:24:37,5.591,17.583,30.783,40.546,48452.459,1022.169,22.145,1.85,1.85,11.57,50.70,4.016,125.502,8.45,
2023/11/28 13:24:37,5.631,17.581,30.785,40.547,48456.158,1022.172,22.147,1.92,1.92,13.32,50.54,4.004,125.120,8.45,
2023/11/28 13:24:37,5.699,17.581,30.782,40.543,48451.216,1022.169,22.144,1.92,1.92,14.32,50.44,3.996,124.867,8.43,
2023/11/28 13:24:37,5.767,17.580,30.778,40.537,48445.440,1022.167,22.141,2.03,2.03,14.86,50.30,3.985,124.528,8.44,
2023/11/28 13:24:37,5.835,17.580,30.779,40.539,48447.796,1022.168,22.142,1.97,1.97,14.72,50.15,3.973,124.173,8.45,
2023/11/28 13:24:37,5.916,17.581,30.780,40.541,48449.209,1022.169,22.143,1.86,1.86,12.73,49.96,3.958,123.701,8.41,
2023/11/28 13:24:37,5.998,17.581,30.777,40.537,48444.070,1022.167,22.140,1.80,1.80,11.86,49.83,3.948,123.381,8.43,
2023/11/28 13:24:37,6.079,17.581,30.776,40.536,48442.816,1022.166,22.139,1.78,1.78,12.91,49.77,3.943,123.231,8.41,
2023/11/28 13:24:38,6.174,17.581,30.777,40.538,48445.057,1022.168,22.141,1.80,1.80,13.53,49.71,3.938,123.079,8.44,
2023/11/28 13:24:38,6.242,17.582,30.763,40.522,48424.374,1022.157,22.129,1.93,1.93,15.20,49.65,3.933,122.925,8.44,
2023/11/28 13:24:38,6.310,17.582,30.768,40.529,48432.397,1022.162,22.134,1.98,1.98,17.10,49.61,3.930,122.824,8.44,
2023/11/28 13:24:38,6.337,17.581,30.776,40.537,48443.994,1022.168,22.140,1.92,1.92,17.01,49.61,3.930,122.811,8.45,
2023/11/28 13:24:38,6.378,17.580,30.781,40.542,48451.170,1022.172,22.144,2.06,2.06,17.75,49.63,3.932,122.871,8.44,
2023/11/28 13:24:38,6.391,17.579,30.779,40.538,48447.695,1022.171,22.142,2.06,2.06,17.67,49.55,3.925,122.673,8.44,
2023/11/28 13:24:38,6.418,17.579,30.778,40.537,48446.369,1022.170,22.141,2.02,2.02,18.04,49.47,3.919,122.485,8.44,
2023/11/28 13:24:38,6.405,17.582,30.775,40.536,48442.159,1022.167,22.139,2.08,2.08,18.82,49.32,3.907,122.111,8.43,
2023/11/28 13:24:38,6.418,17.584,30.778,40.541,48444.876,1022.169,22.140,2.10,2.10,19.35,49.22,3.899,121.866,8.43,
2023/11/28 13:24:38,6.445,17.584,30.777,40.541,48444.609,1022.168,22.140,2.04,2.04,18.60,49.13,3.892,121.624,8.45,
2023/11/28 13:24:39,6.445,17.581,30.778,40.539,48446.248,1022.170,22.141,2.01,2.01,18.50,49.00,3.882,121.319,8.43,
2023/11/28 13:24:39,6.459,17.579,30.783,40.542,48453.088,1022.174,22.145,1.95,1.95,18.07,48.94,3.876,121.148,8.44,
2023/11/28 13:24:39,6.445,17.583,30.771,40.532,48436.289,1022.164,22.136,2.05,2.05,18.55,48.89,3.874,121.061,8.43,
2023/11/28 13:24:39,6.418,17.587,30.770,40.534,48433.705,1022.162,22.134,2.13,2.13,18.55,48.84,3.869,120.909,8.41,
2023/11/28 13:24:39,6.391,17.588,30.769,40.534,48431.672,1022.161,22.132,2.10,2.10,18.76,48.77,3.864,120.770,8.44,
