// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:21
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=340

StartTime=2023/11/28 07:18:21
EndTime=2023/11/28 07:18:54

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:18:21,0.190,19.634,0.062,0.112,126.904,998.329,-1.672,0.18,0.18,9.18,100.00,9.140,285.653,8.58,
2023/11/28 07:18:21,0.163,19.637,0.062,0.111,125.847,998.328,-1.673,0.27,0.27,9.16,100.11,9.151,285.981,8.58,
2023/11/28 07:18:21,0.163,19.639,0.062,0.111,126.358,998.327,-1.673,0.34,0.34,8.89,100.01,9.141,285.680,8.56,
2023/11/28 07:18:21,0.176,19.640,0.062,0.111,126.111,998.327,-1.674,0.17,0.17,8.76,99.99,9.139,285.610,8.57,
2023/11/28 07:18:21,0.163,19.640,0.061,0.111,125.539,998.327,-1.674,0.20,0.20,8.96,99.99,9.140,285.636,8.55,
2023/11/28 07:18:21,0.176,19.640,0.061,0.111,125.722,998.327,-1.674,0.09,0.09,8.97,100.13,9.153,286.034,8.56,
2023/11/28 07:18:21,0.163,19.637,0.062,0.112,126.723,998.328,-1.673,0.06,0.06,8.92,100.03,9.144,285.776,8.53,
2023/11/28 07:18:21,0.176,19.637,0.063,0.113,128.454,998.329,-1.672,0.26,0.26,8.81,100.03,9.145,285.808,8.52,
2023/11/28 07:18:21,0.163,19.636,0.062,0.112,127.309,998.328,-1.673,0.31,0.31,8.70,100.00,9.142,285.695,8.52,
2023/11/28 07:18:21,0.163,19.636,0.062,0.111,126.128,998.328,-1.673,0.19,0.19,8.75,100.05,9.146,285.820,8.53,
2023/11/28 07:18:22,0.163,19.637,0.062,0.111,125.975,998.328,-1.673,0.14,0.14,9.07,100.12,9.153,286.041,8.51,
2023/11/28 07:18:22,0.163,19.637,0.061,0.111,125.738,998.327,-1.673,0.17,0.17,9.10,100.03,9.143,285.751,8.51,
2023/11/28 07:18:22,0.163,19.637,0.061,0.111,125.486,998.327,-1.673,0.21,0.21,9.04,99.88,9.130,285.326,8.52,
2023/11/28 07:18:22,0.176,19.638,0.062,0.111,125.974,998.327,-1.673,0.23,0.23,8.83,99.93,9.134,285.450,8.52,
2023/11/28 07:18:22,0.176,19.640,0.061,0.110,125.125,998.327,-1.674,0.25,0.25,8.84,100.02,9.142,285.690,8.51,
2023/11/28 07:18:22,0.176,19.642,0.061,0.111,125.415,998.326,-1.674,0.19,0.19,8.76,100.02,9.142,285.708,8.52,
2023/11/28 07:18:22,0.163,19.644,0.061,0.110,125.088,998.326,-1.675,0.24,0.24,8.88,99.93,9.133,285.434,8.51,
2023/11/28 07:18:22,0.176,19.645,0.061,0.110,125.215,998.326,-1.675,0.28,0.28,8.99,100.08,9.147,285.868,8.51,
2023/11/28 07:18:22,0.176,19.646,0.061,0.110,125.054,998.326,-1.675,0.21,0.21,9.02,100.01,9.140,285.630,8.50,
2023/11/28 07:18:22,0.176,19.647,0.061,0.111,125.390,998.325,-1.675,0.11,0.11,9.10,99.96,9.136,285.523,8.50,
2023/11/28 07:18:23,0.163,19.648,0.062,0.111,126.042,998.325,-1.675,0.05,0.05,9.40,99.89,9.128,285.276,8.51,
2023/11/28 07:18:23,0.176,19.648,0.061,0.111,125.476,998.325,-1.676,0.13,0.13,9.61,99.86,9.126,285.197,8.53,
2023/11/28 07:18:23,0.163,19.649,0.062,0.112,127.123,998.325,-1.675,0.21,0.21,10.12,99.99,9.137,285.542,8.51,
2023/11/28 07:18:23,0.176,19.650,0.064,0.116,130.930,998.327,-1.674,0.15,0.15,10.53,100.01,9.138,285.592,8.50,
2023/11/28 07:18:23,0.163,19.650,0.063,0.113,128.610,998.326,-1.675,0.22,0.22,10.37,99.96,9.134,285.452,8.50,
2023/11/28 07:18:23,0.176,19.652,0.062,0.112,127.081,998.325,-1.676,0.23,0.23,10.32,100.09,9.146,285.817,8.50,
2023/11/28 07:18:23,0.163,19.652,0.062,0.111,126.197,998.325,-1.676,0.15,0.15,10.40,100.11,9.148,285.898,8.51,
2023/11/28 07:18:23,0.163,19.650,0.062,0.111,126.268,998.325,-1.676,0.12,0.12,10.26,100.01,9.139,285.613,8.51,
2023/11/28 07:18:23,0.176,19.649,0.062,0.112,127.095,998.326,-1.675,0.15,0.15,9.99,100.04,9.143,285.735,8.50,
2023/11/28 07:18:23,0.176,19.648,0.063,0.113,128.498,998.326,-1.675,0.09,0.09,10.01,100.01,9.140,285.652,8.51,
2023/11/28 07:18:24,0.176,19.648,0.062,0.113,127.951,998.326,-1.675,0.15,0.15,10.37,100.15,9.153,286.061,8.51,
2023/11/28 07:18:24,0.176,19.648,0.063,0.113,128.226,998.326,-1.675,0.20,0.20,10.32,100.03,9.142,285.698,8.51,
2023/11/28 07:18:24,0.176,19.649,0.066,0.119,134.726,998.328,-1.673,0.23,0.23,10.07,100.06,9.144,285.774,8.51,
2023/11/28 07:18:24,0.176,19.649,0.064,0.117,132.065,998.327,-1.674,0.07,0.07,9.66,100.12,9.149,285.936,8.51,
2023/11/28 07:18:24,0.163,19.650,0.064,0.115,130.553,998.327,-1.674,0.15,0.15,9.48,100.08,9.145,285.804,8.50,
2023/11/28 07:18:24,0.163,19.651,0.063,0.114,129.635,998.326,-1.675,0.16,0.16,9.31,100.08,9.146,285.831,8.50,
2023/11/28 07:18:24,0.163,19.653,0.063,0.114,129.475,998.326,-1.675,0.04,0.04,9.32,100.05,9.142,285.709,8.50,
2023/11/28 07:18:24,0.176,19.653,0.063,0.114,128.779,998.325,-1.676,0.05,0.05,9.39,99.95,9.133,285.426,8.50,
2023/11/28 07:18:24,0.163,19.654,0.062,0.113,127.831,998.325,-1.676,0.09,0.09,9.48,100.03,9.140,285.656,8.49,
2023/11/28 07:18:24,0.176,19.654,0.062,0.112,126.766,998.324,-1.676,0.11,0.11,9.69,100.07,9.145,285.799,8.50,
2023/11/28 07:18:25,0.163,19.653,0.062,0.112,126.902,998.325,-1.676,0.20,0.20,9.82,100.02,9.140,285.631,8.51,
2023/11/28 07:18:25,0.176,19.654,0.062,0.112,127.206,998.325,-1.676,0.17,0.17,9.45,100.03,9.140,285.640,8.50,
2023/11/28 07:18:25,0.163,19.653,0.062,0.113,127.823,998.325,-1.676,0.21,0.21,9.27,99.99,9.136,285.533,8.51,
2023/11/28 07:18:25,0.163,19.653,0.063,0.113,128.240,998.325,-1.676,0.25,0.25,9.10,99.89,9.128,285.258,8.50,
2023/11/28 07:18:25,0.163,19.652,0.063,0.114,129.673,998.326,-1.675,0.15,0.15,9.07,99.89,9.127,285.248,8.51,
2023/11/28 07:18:25,0.163,19.649,0.065,0.117,132.593,998.327,-1.673,0.10,0.10,9.00,99.98,9.136,285.520,8.49,
2023/11/28 07:18:25,0.176,19.648,0.065,0.117,132.424,998.328,-1.673,0.08,0.08,9.04,100.00,9.138,285.589,8.50,
2023/11/28 07:18:25,0.176,19.648,0.065,0.118,133.190,998.328,-1.673,0.03,0.03,9.07,99.92,9.131,285.376,8.50,
2023/11/28 07:18:25,0.163,19.646,0.065,0.118,133.785,998.328,-1.672,0.12,0.12,9.10,99.98,9.137,285.552,8.51,
2023/11/28 07:18:25,0.176,19.645,0.065,0.118,133.779,998.329,-1.672,0.17,0.17,9.16,100.04,9.142,285.712,8.50,
2023/11/28 07:18:26,0.163,19.642,0.066,0.119,135.334,998.330,-1.671,0.09,0.09,9.13,100.10,9.148,285.905,8.53,
2023/11/28 07:18:26,0.163,19.640,0.066,0.120,136.096,998.330,-1.670,0.04,0.04,8.99,99.99,9.138,285.593,8.50,
2023/11/28 07:18:26,0.176,19.639,0.066,0.121,136.687,998.331,-1.670,0.12,0.12,9.11,100.03,9.143,285.725,8.50,
