// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:14
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=320

StartTime=2023/11/28 07:13:41
EndTime=2023/11/28 07:14:12

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:13:41,0.190,19.651,0.065,0.118,133.506,998.327,-1.673,0.12,0.12,8.03,99.93,9.142,285.721,8.57,
2023/11/28 07:13:41,0.176,19.649,0.065,0.118,133.701,998.328,-1.673,0.20,0.20,7.95,99.83,9.133,285.437,8.57,
2023/11/28 07:13:41,0.163,19.647,0.065,0.118,133.641,998.328,-1.673,0.09,0.09,7.94,99.84,9.135,285.489,8.56,
2023/11/28 07:13:41,0.163,19.644,0.065,0.118,133.706,998.329,-1.672,0.05,0.05,7.81,99.76,9.127,285.234,8.55,
2023/11/28 07:13:41,0.163,19.642,0.065,0.118,133.566,998.329,-1.672,0.00,0.00,7.91,99.93,9.143,285.746,8.53,
2023/11/28 07:13:41,0.176,19.639,0.065,0.118,133.515,998.330,-1.671,-0.03,-0.03,7.87,100.00,9.149,285.915,8.56,
2023/11/28 07:13:41,0.163,19.641,0.065,0.117,132.960,998.329,-1.672,0.02,0.02,7.92,100.08,9.157,286.172,8.54,
2023/11/28 07:13:41,0.163,19.640,0.065,0.118,133.623,998.330,-1.671,0.03,0.03,7.95,99.97,9.146,285.844,8.54,
2023/11/28 07:13:41,0.163,19.642,0.065,0.118,133.414,998.329,-1.672,0.16,0.16,8.13,99.90,9.141,285.666,8.53,
2023/11/28 07:13:41,0.176,19.641,0.065,0.118,133.439,998.329,-1.671,0.20,0.20,8.07,99.95,9.145,285.799,8.53,
2023/11/28 07:13:42,0.176,19.639,0.065,0.117,133.159,998.330,-1.671,0.17,0.17,7.91,100.02,9.152,286.020,8.54,
2023/11/28 07:13:42,0.176,19.635,0.065,0.118,133.238,998.331,-1.670,0.18,0.18,7.91,99.93,9.144,285.754,8.53,
2023/11/28 07:13:42,0.163,19.632,0.065,0.118,133.653,998.331,-1.670,0.09,0.09,7.89,100.00,9.151,286.000,8.52,
2023/11/28 07:13:42,0.163,19.631,0.065,0.118,133.288,998.331,-1.669,0.05,0.05,7.81,99.93,9.144,285.780,8.52,
2023/11/28 07:13:42,0.176,19.629,0.065,0.118,133.464,998.332,-1.669,-0.03,-0.03,7.72,99.93,9.145,285.788,8.51,
2023/11/28 07:13:42,0.163,19.627,0.066,0.120,136.421,998.333,-1.668,0.04,0.04,8.00,99.78,9.130,285.326,8.53,
2023/11/28 07:13:42,0.176,19.627,0.066,0.120,136.145,998.333,-1.668,0.11,0.11,7.91,99.78,9.130,285.344,8.50,
2023/11/28 07:13:42,0.176,19.627,0.065,0.119,134.590,998.333,-1.668,0.06,0.06,8.26,99.87,9.138,285.585,8.50,
2023/11/28 07:13:42,0.163,19.628,0.065,0.118,134.288,998.332,-1.669,0.09,0.09,7.97,100.06,9.155,286.125,8.50,
2023/11/28 07:13:42,0.176,19.627,0.065,0.118,134.112,998.332,-1.668,0.03,0.03,7.97,100.00,9.149,285.932,8.49,
2023/11/28 07:13:43,0.176,19.627,0.065,0.118,133.843,998.332,-1.668,0.03,0.03,8.11,99.98,9.148,285.887,8.51,
2023/11/28 07:13:43,0.176,19.625,0.065,0.118,133.630,998.333,-1.668,0.08,0.08,7.97,99.98,9.148,285.878,8.52,
2023/11/28 07:13:43,0.176,19.624,0.065,0.118,133.308,998.333,-1.668,0.10,0.10,8.08,100.00,9.150,285.966,8.51,
2023/11/28 07:13:43,0.163,19.622,0.065,0.118,133.312,998.333,-1.668,0.08,0.08,8.03,100.03,9.152,286.030,8.49,
2023/11/28 07:13:43,0.163,19.621,0.065,0.117,133.046,998.333,-1.667,0.05,0.05,7.70,100.03,9.153,286.046,8.51,
2023/11/28 07:13:43,0.176,19.622,0.065,0.118,133.636,998.333,-1.667,0.15,0.15,7.84,99.98,9.148,285.905,8.51,
2023/11/28 07:13:43,0.163,19.626,0.065,0.117,133.227,998.332,-1.669,0.22,0.22,7.91,99.98,9.148,285.887,8.50,
2023/11/28 07:13:43,0.163,19.629,0.065,0.117,132.705,998.332,-1.669,0.03,0.03,7.78,99.85,9.135,285.482,8.50,
2023/11/28 07:13:43,0.163,19.635,0.065,0.117,132.787,998.330,-1.670,0.06,0.06,7.73,99.85,9.135,285.482,8.51,
2023/11/28 07:13:43,0.176,19.637,0.065,0.117,132.754,998.330,-1.671,0.14,0.14,7.64,99.89,9.137,285.556,8.50,
2023/11/28 07:13:44,0.176,19.638,0.065,0.117,132.638,998.330,-1.671,0.10,0.10,7.53,100.00,9.148,285.900,8.51,
2023/11/28 07:13:44,0.163,19.638,0.065,0.117,132.668,998.330,-1.671,0.09,0.09,7.38,99.91,9.140,285.635,8.51,
2023/11/28 07:13:44,0.176,19.635,0.065,0.117,132.431,998.330,-1.671,0.08,0.08,7.19,99.92,9.142,285.712,8.50,
2023/11/28 07:13:44,0.163,19.632,0.065,0.117,132.461,998.331,-1.670,0.08,0.08,7.21,99.92,9.142,285.695,8.51,
2023/11/28 07:13:44,0.163,19.631,0.064,0.117,132.283,998.331,-1.670,0.07,0.07,7.18,99.84,9.134,285.456,8.50,
2023/11/28 07:13:44,0.163,19.630,0.065,0.117,132.661,998.331,-1.670,-0.01,-0.01,7.16,99.85,9.135,285.474,8.50,
2023/11/28 07:13:44,0.176,19.628,0.064,0.117,132.267,998.332,-1.669,0.00,0.00,7.40,99.96,9.146,285.835,8.50,
2023/11/28 07:13:44,0.163,19.627,0.064,0.117,132.118,998.332,-1.669,0.15,0.15,7.53,99.96,9.146,285.827,8.50,
2023/11/28 07:13:44,0.176,19.626,0.064,0.116,131.955,998.332,-1.669,0.16,0.16,7.37,99.87,9.138,285.570,8.51,
2023/11/28 07:13:44,0.163,19.625,0.064,0.117,132.139,998.332,-1.669,0.18,0.18,7.40,99.87,9.138,285.579,8.51,
2023/11/28 07:13:45,0.163,19.623,0.064,0.116,131.983,998.332,-1.668,0.13,0.13,7.24,99.93,9.144,285.763,8.51,
2023/11/28 07:13:45,0.163,19.621,0.064,0.116,131.906,998.333,-1.668,0.09,0.09,7.26,99.85,9.136,285.516,8.51,
2023/11/28 07:13:45,0.163,19.620,0.065,0.117,132.439,998.333,-1.668,0.04,0.04,7.30,100.04,9.154,286.090,8.50,
2023/11/28 07:13:45,0.176,19.621,0.064,0.117,132.283,998.333,-1.668,-0.03,-0.03,7.49,99.90,9.140,285.641,8.50,
2023/11/28 07:13:45,0.163,19.624,0.064,0.117,132.166,998.332,-1.668,-0.01,-0.01,7.37,99.93,9.143,285.722,8.51,
2023/11/28 07:13:45,0.176,19.626,0.064,0.116,131.824,998.332,-1.669,0.09,0.09,7.53,99.97,9.146,285.838,8.50,
2023/11/28 07:13:45,0.176,19.632,0.064,0.116,132.030,998.331,-1.670,0.12,0.12,7.46,99.95,9.144,285.766,8.50,
2023/11/28 07:13:45,0.176,19.637,0.064,0.116,131.739,998.330,-1.671,0.03,0.03,7.48,100.08,9.155,286.097,8.50,
2023/11/28 07:13:45,0.163,19.642,0.064,0.116,131.697,998.329,-1.672,0.02,0.02,7.53,100.11,9.158,286.211,8.50,
2023/11/28 07:13:45,0.176,19.643,0.064,0.116,131.440,998.328,-1.673,0.03,0.03,7.41,100.01,9.148,285.902,8.50,
2023/11/28 07:13:46,0.176,19.645,0.064,0.117,132.093,998.328,-1.673,0.09,0.09,7.11,100.03,9.150,285.964,8.49,
2023/11/28 07:13:46,0.163,19.646,0.064,0.116,131.913,998.328,-1.673,0.16,0.16,7.27,99.95,9.142,285.716,8.50,
2023/11/28 07:13:46,0.163,19.646,0.064,0.116,131.631,998.328,-1.673,0.24,0.24,7.72,99.84,9.132,285.398,8.49,
2023/11/28 07:13:46,0.176,19.646,0.064,0.116,131.366,998.328,-1.673,0.22,0.22,7.54,99.85,9.133,285.416,8.51,
2023/11/28 07:13:46,0.163,19.647,0.064,0.116,131.220,998.327,-1.673,0.12,0.12,7.70,99.93,9.141,285.663,8.50,
2023/11/28 07:13:46,0.163,19.647,0.064,0.116,131.304,998.327,-1.673,0.03,0.03,7.62,99.97,9.144,285.779,8.51,
2023/11/28 07:13:46,0.163,19.649,0.064,0.116,131.313,998.327,-1.674,0.03,0.03,7.59,100.05,9.153,286.034,8.51,
2023/11/28 07:13:46,0.176,19.648,0.064,0.116,130.998,998.327,-1.674,-0.02,-0.02,7.53,99.99,9.146,285.832,8.53,
2023/11/28 07:13:46,0.176,19.648,0.065,0.117,132.594,998.328,-1.673,0.13,0.13,7.29,99.89,9.138,285.590,8.50,
2023/11/28 07:13:46,0.176,19.646,0.064,0.117,132.156,998.328,-1.673,0.13,0.13,7.08,99.87,9.135,285.486,8.50,
2023/11/28 07:13:47,0.176,19.646,0.064,0.116,131.645,998.328,-1.673,0.20,0.20,7.18,99.98,9.146,285.831,8.51,
2023/11/28 07:13:47,0.163,19.644,0.064,0.116,131.346,998.328,-1.673,0.08,0.08,7.19,99.89,9.138,285.582,8.53,
2023/11/28 07:13:47,0.176,19.643,0.064,0.115,130.913,998.328,-1.673,0.07,0.07,7.35,99.91,9.140,285.645,8.50,
2023/11/28 07:13:47,0.163,19.641,0.064,0.115,130.731,998.328,-1.672,0.09,0.09,7.51,99.88,9.137,285.538,8.51,
2023/11/28 07:13:47,0.163,19.639,0.064,0.115,130.722,998.329,-1.672,-0.01,-0.01,7.53,99.93,9.142,285.698,8.50,
2023/11/28 07:13:47,0.163,19.637,0.064,0.115,130.777,998.329,-1.671,-0.02,-0.02,7.41,99.87,9.137,285.546,8.51,
2023/11/28 07:13:47,0.176,19.635,0.064,0.115,130.606,998.330,-1.671,0.03,0.03,7.41,99.90,9.141,285.660,8.50,
2023/11/28 07:13:47,0.163,19.633,0.064,0.115,130.455,998.330,-1.671,0.00,0.00,7.57,99.89,9.138,285.574,8.51,
2023/11/28 07:13:47,0.163,19.632,0.064,0.115,130.249,998.330,-1.671,0.03,0.03,7.48,99.97,9.146,285.821,8.51,
2023/11/28 07:13:47,0.163,19.633,0.064,0.115,130.427,998.330,-1.671,0.08,0.08,7.29,99.88,9.137,285.547,8.51,
2023/11/28 07:13:48,0.163,19.634,0.063,0.115,130.067,998.329,-1.671,0.07,0.07,7.27,99.83,9.133,285.423,8.51,
2023/11/28 07:13:48,0.163,19.633,0.064,0.115,130.279,998.330,-1.671,0.04,0.04,7.45,99.75,9.125,285.167,8.51,
2023/11/28 07:13:48,0.176,19.632,0.064,0.115,130.273,998.330,-1.671,0.03,0.03,7.60,99.79,9.130,285.316,8.50,
2023/11/28 07:13:48,0.163,19.631,0.063,0.115,130.169,998.330,-1.670,0.04,0.04,7.68,99.97,9.147,285.855,8.50,
2023/11/28 07:13:48,0.176,19.628,0.063,0.115,130.043,998.331,-1.670,0.07,0.07,7.80,99.99,9.149,285.917,8.50,
2023/11/28 07:13:48,0.163,19.625,0.063,0.115,130.062,998.331,-1.669,0.01,0.01,7.81,99.86,9.136,285.529,8.51,
2023/11/28 07:13:48,0.176,19.622,0.063,0.115,129.938,998.332,-1.669,0.05,0.05,7.68,99.84,9.135,285.491,8.51,
2023/11/28 07:13:48,0.163,19.619,0.063,0.115,130.121,998.333,-1.668,0.03,0.03,7.76,99.79,9.131,285.351,8.50,
