// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:48
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=400

StartTime=2023/11/28 07:29:55
EndTime=2023/11/28 07:30:34

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:29:55,0.190,19.871,0.062,0.113,127.684,998.281,-1.720,0.02,0.02,16.14,100.05,9.110,284.718,8.57,
2023/11/28 07:29:55,0.163,19.874,0.061,0.111,125.444,998.279,-1.722,0.05,0.05,16.11,99.97,9.103,284.498,8.56,
2023/11/28 07:29:55,0.176,19.878,0.061,0.110,124.170,998.278,-1.723,0.00,0.00,15.90,99.89,9.096,284.270,8.55,
2023/11/28 07:29:55,0.176,19.879,0.061,0.110,124.157,998.278,-1.723,-0.05,-0.05,15.84,99.76,9.083,283.874,8.55,
2023/11/28 07:29:55,0.163,19.881,0.061,0.110,123.589,998.277,-1.724,-0.19,-0.19,16.06,99.86,9.094,284.198,8.56,
2023/11/28 07:29:55,0.176,19.881,0.060,0.109,122.650,998.277,-1.724,-0.16,-0.16,16.01,99.89,9.096,284.254,8.53,
2023/11/28 07:29:55,0.163,19.883,0.060,0.109,122.621,998.276,-1.725,-0.14,-0.14,16.05,99.90,9.096,284.280,8.54,
2023/11/28 07:29:55,0.176,19.887,0.060,0.109,122.261,998.275,-1.725,-0.14,-0.14,16.16,100.00,9.105,284.547,8.54,
2023/11/28 07:29:55,0.163,19.890,0.061,0.110,123.387,998.275,-1.726,-0.09,-0.09,15.87,100.07,9.110,284.707,8.53,
2023/11/28 07:29:55,0.163,19.893,0.061,0.111,124.858,998.275,-1.726,-0.03,-0.03,15.68,100.01,9.104,284.513,8.51,
2023/11/28 07:29:56,0.176,19.897,0.061,0.111,124.596,998.274,-1.727,-0.07,-0.07,15.69,100.05,9.107,284.620,8.53,
2023/11/28 07:29:56,0.176,19.900,0.060,0.109,123.242,998.273,-1.728,0.06,0.06,15.77,100.08,9.110,284.701,8.51,
2023/11/28 07:29:56,0.176,19.901,0.060,0.108,122.164,998.273,-1.728,0.03,0.03,15.95,99.94,9.098,284.338,8.50,
2023/11/28 07:29:56,0.163,19.899,0.062,0.112,125.684,998.274,-1.727,-0.09,-0.09,16.05,99.85,9.090,284.072,8.50,
2023/11/28 07:29:56,0.176,19.901,0.061,0.110,124.003,998.273,-1.728,0.06,0.06,16.09,99.87,9.092,284.134,8.50,
2023/11/28 07:29:56,0.163,19.903,0.060,0.109,123.035,998.272,-1.728,-0.02,-0.02,16.05,99.84,9.087,283.996,8.52,
2023/11/28 07:29:56,0.163,19.904,0.062,0.112,126.639,998.273,-1.727,0.03,0.03,15.95,99.88,9.093,284.175,8.51,
2023/11/28 07:29:56,0.163,19.904,0.067,0.122,137.272,998.277,-1.724,-0.04,-0.04,15.60,99.94,9.098,284.317,8.50,
