// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:56
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=330

StartTime=2023/11/28 07:32:34
EndTime=2023/11/28 07:33:06

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:32:34,0.204,19.997,0.204,0.380,427.372,998.363,-1.638,-0.15,-0.15,13.26,99.79,9.056,283.004,8.56,
2023/11/28 07:32:34,0.176,19.997,0.259,0.482,541.651,998.405,-1.596,-0.12,-0.12,13.24,99.85,9.058,283.070,8.56,
2023/11/28 07:32:34,0.176,19.996,0.216,0.404,453.663,998.373,-1.628,-0.07,-0.07,13.40,99.83,9.058,283.080,8.54,
2023/11/28 07:32:34,0.176,19.995,0.226,0.422,473.850,998.380,-1.620,0.01,0.01,13.55,99.86,9.060,283.134,8.54,
2023/11/28 07:32:34,0.176,19.993,0.221,0.413,463.601,998.377,-1.624,-0.04,-0.04,13.40,99.81,9.057,283.052,8.54,
2023/11/28 07:32:34,0.176,19.992,0.190,0.355,398.911,998.353,-1.648,0.03,0.03,13.21,99.79,9.057,283.035,8.52,
2023/11/28 07:32:34,0.176,19.989,0.173,0.324,364.666,998.341,-1.660,0.11,0.11,13.40,99.92,9.069,283.439,8.53,
2023/11/28 07:32:34,0.176,19.988,0.188,0.352,395.495,998.353,-1.648,-0.02,-0.02,13.45,99.81,9.059,283.099,8.52,
2023/11/28 07:32:34,0.176,19.986,0.199,0.372,418.589,998.362,-1.639,-0.06,-0.06,13.53,99.80,9.058,283.070,8.53,
2023/11/28 07:32:34,0.176,19.985,0.182,0.340,381.659,998.348,-1.652,-0.13,-0.13,13.64,99.81,9.060,283.135,8.51,
2023/11/28 07:32:35,0.176,19.985,0.254,0.472,530.807,998.404,-1.597,-0.12,-0.12,13.66,99.77,9.052,282.892,8.52,
2023/11/28 07:32:35,0.176,19.985,0.215,0.402,451.775,998.374,-1.627,0.03,0.03,13.47,99.82,9.058,283.089,8.51,
2023/11/28 07:32:35,0.176,19.986,0.209,0.390,438.192,998.369,-1.632,-0.03,-0.03,13.42,99.84,9.062,283.193,8.50,
2023/11/28 07:32:35,0.176,19.984,0.217,0.405,455.739,998.376,-1.625,-0.12,-0.12,13.39,99.76,9.053,282.918,8.51,
2023/11/28 07:32:35,0.176,19.984,0.199,0.371,416.886,998.362,-1.639,-0.03,-0.03,13.37,99.87,9.064,283.282,8.50,
2023/11/28 07:32:35,0.176,19.984,0.187,0.349,392.685,998.353,-1.648,-0.12,-0.12,13.34,99.86,9.063,283.232,8.50,
2023/11/28 07:32:35,0.176,19.986,0.233,0.435,488.760,998.388,-1.613,-0.06,-0.06,13.39,99.81,9.056,283.007,8.50,
2023/11/28 07:32:35,0.190,19.987,0.209,0.391,439.502,998.369,-1.632,-0.07,-0.07,13.55,99.78,9.054,282.942,8.51,
2023/11/28 07:32:35,0.176,19.989,0.233,0.434,487.683,998.387,-1.614,-0.03,-0.03,13.48,99.73,9.047,282.738,8.50,
2023/11/28 07:32:35,0.190,19.990,0.213,0.398,446.969,998.371,-1.629,0.05,0.05,13.50,99.80,9.055,282.998,8.51,
2023/11/28 07:32:36,0.176,19.993,0.300,0.555,624.144,998.437,-1.564,0.21,0.21,13.42,99.97,9.065,283.311,8.50,
2023/11/28 07:32:36,0.176,19.995,0.273,0.507,569.936,998.416,-1.585,0.21,0.21,13.32,99.89,9.059,283.127,8.49,
2023/11/28 07:32:36,0.176,19.996,0.239,0.445,499.492,998.390,-1.611,0.13,0.13,13.31,99.76,9.050,282.833,8.51,
2023/11/28 07:32:36,0.176,19.996,0.240,0.447,501.884,998.391,-1.610,0.05,0.05,13.15,99.79,9.053,282.919,8.49,
2023/11/28 07:32:36,0.176,19.997,0.229,0.426,479.200,998.382,-1.619,0.11,0.11,13.36,99.89,9.061,283.168,8.50,
2023/11/28 07:32:36,0.176,19.999,0.196,0.366,411.371,998.356,-1.644,-0.03,-0.03,13.31,99.85,9.060,283.142,8.48,
2023/11/28 07:32:36,0.176,19.999,0.229,0.428,480.711,998.382,-1.619,-0.03,-0.03,13.40,99.81,9.054,282.956,8.49,
2023/11/28 07:32:36,0.176,20.000,0.201,0.376,422.785,998.360,-1.640,-0.02,-0.02,13.48,99.83,9.057,283.055,8.49,
2023/11/28 07:32:36,0.176,20.001,0.201,0.376,422.956,998.360,-1.641,-0.07,-0.07,13.55,99.83,9.058,283.071,8.49,
2023/11/28 07:32:36,0.176,20.003,0.228,0.425,477.987,998.380,-1.621,-0.11,-0.11,13.47,99.77,9.050,282.819,8.50,
2023/11/28 07:32:37,0.176,20.004,0.213,0.397,446.409,998.368,-1.632,-0.12,-0.12,13.53,99.73,9.047,282.738,8.49,
2023/11/28 07:32:37,0.176,20.004,0.201,0.376,422.138,998.359,-1.642,-0.06,-0.06,13.31,99.82,9.056,283.013,8.50,
2023/11/28 07:32:37,0.190,20.003,0.206,0.386,433.202,998.364,-1.637,0.12,0.12,13.32,99.83,9.057,283.056,8.49,
2023/11/28 07:32:37,0.176,20.003,0.217,0.404,454.260,998.371,-1.630,0.09,0.09,13.32,99.86,9.059,283.126,8.50,
2023/11/28 07:32:37,0.176,20.004,0.211,0.394,442.726,998.367,-1.634,-0.14,-0.14,13.42,99.80,9.054,282.942,8.50,
2023/11/28 07:32:37,0.176,20.005,0.212,0.396,445.031,998.368,-1.633,-0.14,-0.14,13.52,99.74,9.049,282.791,8.49,
2023/11/28 07:32:37,0.176,20.004,0.201,0.376,422.014,998.359,-1.642,-0.02,-0.02,13.40,99.89,9.063,283.224,8.49,
2023/11/28 07:32:37,0.176,20.003,0.210,0.393,441.188,998.366,-1.634,0.03,0.03,13.37,99.82,9.057,283.039,8.50,
2023/11/28 07:32:37,0.176,20.001,0.200,0.374,420.429,998.359,-1.642,0.06,0.06,13.66,99.86,9.061,283.161,8.50,
2023/11/28 07:32:37,0.190,20.000,0.239,0.445,499.723,998.389,-1.612,0.00,0.00,13.53,99.84,9.056,283.028,8.49,
2023/11/28 07:32:38,0.176,19.997,0.247,0.459,516.188,998.396,-1.605,-0.03,-0.03,13.55,99.77,9.050,282.829,8.49,
2023/11/28 07:32:38,0.176,19.997,0.275,0.511,574.316,998.417,-1.583,0.04,0.04,13.37,99.81,9.053,282.911,8.50,
2023/11/28 07:32:38,0.176,19.995,0.269,0.500,562.214,998.413,-1.588,-0.03,-0.03,13.36,99.85,9.057,283.036,8.49,
2023/11/28 07:32:38,0.176,19.995,0.234,0.435,489.184,998.386,-1.615,0.06,0.06,13.50,99.91,9.064,283.272,8.50,
2023/11/28 07:32:38,0.176,19.997,0.272,0.506,568.519,998.415,-1.586,0.03,0.03,13.55,99.89,9.060,283.153,8.51,
2023/11/28 07:32:38,0.176,20.001,0.219,0.408,458.281,998.373,-1.627,-0.03,-0.03,13.37,99.96,9.068,283.403,8.50,
2023/11/28 07:32:38,0.176,20.003,0.273,0.507,569.172,998.414,-1.586,-0.09,-0.09,13.32,99.92,9.062,283.200,8.49,
2023/11/28 07:32:38,0.176,20.003,0.221,0.413,463.874,998.375,-1.626,-0.11,-0.11,13.52,99.94,9.066,283.330,8.49,
2023/11/28 07:32:38,0.176,20.003,0.233,0.435,488.435,998.384,-1.617,0.07,0.07,13.36,99.92,9.063,283.232,8.48,
2023/11/28 07:32:38,0.176,20.004,0.200,0.373,419.263,998.358,-1.643,0.03,0.03,13.34,99.81,9.056,283.014,8.49,
2023/11/28 07:32:39,0.190,20.004,0.217,0.405,455.449,998.372,-1.629,0.07,0.07,13.26,99.87,9.060,283.144,8.50,
2023/11/28 07:32:39,0.176,20.005,0.211,0.393,441.719,998.366,-1.634,-0.01,-0.01,13.31,99.89,9.063,283.224,8.50,
2023/11/28 07:32:39,0.176,20.005,0.227,0.424,476.511,998.379,-1.622,-0.02,-0.02,13.39,99.87,9.060,283.151,8.50,
2023/11/28 07:32:39,0.176,20.005,0.212,0.396,444.992,998.367,-1.633,-0.06,-0.06,13.47,99.81,9.055,282.992,8.48,
2023/11/28 07:32:39,0.176,20.006,0.213,0.398,446.937,998.368,-1.633,-0.05,-0.05,13.53,99.85,9.057,283.038,8.49,
