// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:02
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=360

StartTime=2023/11/28 07:05:12
EndTime=2023/11/28 07:05:47

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:05:12,0.204,19.517,0.059,0.107,121.118,998.350,-1.651,0.20,0.20,22.51,100.05,9.179,286.849,8.57,
2023/11/28 07:05:12,0.176,19.515,0.059,0.106,121.008,998.351,-1.650,0.14,0.14,26.54,100.01,9.175,286.742,8.59,
2023/11/28 07:05:12,0.176,19.512,0.059,0.106,120.780,998.351,-1.650,0.09,0.09,30.56,100.01,9.176,286.759,8.57,
2023/11/28 07:05:12,0.176,19.511,0.059,0.107,121.155,998.351,-1.650,0.12,0.12,27.94,99.97,9.171,286.609,8.56,
2023/11/28 07:05:12,0.176,19.510,0.059,0.106,120.704,998.352,-1.649,0.09,0.09,24.86,99.82,9.158,286.209,8.56,
2023/11/28 07:05:12,0.176,19.509,0.059,0.106,120.836,998.352,-1.649,0.13,0.13,23.30,99.85,9.161,286.298,8.56,
2023/11/28 07:05:12,0.176,19.509,0.059,0.106,120.680,998.352,-1.649,0.14,0.14,22.66,99.87,9.162,286.326,8.55,
2023/11/28 07:05:12,0.176,19.510,0.059,0.106,120.492,998.351,-1.649,0.13,0.13,22.45,100.03,9.176,286.779,8.55,
2023/11/28 07:05:12,0.176,19.509,0.059,0.106,120.670,998.352,-1.649,0.14,0.14,22.13,100.01,9.174,286.708,8.54,
2023/11/28 07:05:12,0.176,19.509,0.059,0.106,120.511,998.352,-1.649,0.13,0.13,22.35,99.95,9.169,286.539,8.53,
2023/11/28 07:05:13,0.176,19.509,0.059,0.106,120.418,998.352,-1.649,0.04,0.04,22.56,99.91,9.166,286.450,8.53,
2023/11/28 07:05:13,0.176,19.508,0.059,0.106,120.396,998.352,-1.649,0.04,0.04,23.32,99.99,9.173,286.672,8.53,
2023/11/28 07:05:13,0.176,19.504,0.059,0.106,120.462,998.353,-1.648,0.12,0.12,21.24,99.94,9.169,286.546,8.53,
2023/11/28 07:05:13,0.176,19.501,0.059,0.106,120.456,998.353,-1.648,0.15,0.15,19.53,99.89,9.165,286.413,8.54,
2023/11/28 07:05:13,0.176,19.498,0.059,0.106,120.270,998.354,-1.647,0.17,0.17,18.84,99.92,9.169,286.553,8.50,
2023/11/28 07:05:13,0.176,19.494,0.059,0.106,120.275,998.354,-1.646,0.14,0.14,18.44,100.01,9.177,286.811,8.53,
2023/11/28 07:05:13,0.176,19.492,0.059,0.106,120.065,998.355,-1.646,0.17,0.17,18.29,100.01,9.178,286.827,8.52,
2023/11/28 07:05:13,0.176,19.489,0.059,0.106,120.296,998.355,-1.645,0.08,0.08,18.82,99.93,9.170,286.587,8.50,
2023/11/28 07:05:13,0.176,19.489,0.059,0.106,120.751,998.356,-1.645,0.06,0.06,19.92,99.97,9.174,286.720,8.51,
2023/11/28 07:05:13,0.176,19.487,0.059,0.106,120.190,998.356,-1.645,0.02,0.02,20.51,99.99,9.176,286.765,8.53,
2023/11/28 07:05:14,0.190,19.485,0.059,0.106,120.447,998.356,-1.644,0.05,0.05,21.72,100.06,9.183,286.986,8.53,
2023/11/28 07:05:14,0.176,19.483,0.059,0.106,120.317,998.357,-1.644,0.05,0.05,25.18,100.06,9.183,286.986,8.51,
2023/11/28 07:05:14,0.176,19.485,0.059,0.106,120.360,998.356,-1.644,-0.04,-0.04,28.96,99.97,9.175,286.737,8.50,
2023/11/28 07:05:14,0.176,19.488,0.059,0.105,120.011,998.356,-1.645,-0.03,-0.03,28.28,99.84,9.162,286.331,8.52,
2023/11/28 07:05:14,0.176,19.491,0.059,0.106,120.095,998.355,-1.646,-0.02,-0.02,26.35,99.98,9.174,286.704,8.50,
2023/11/28 07:05:14,0.176,19.496,0.059,0.106,120.303,998.354,-1.647,0.02,0.02,25.78,100.00,9.175,286.732,8.52,
2023/11/28 07:05:14,0.176,19.500,0.059,0.105,119.732,998.353,-1.648,0.07,0.07,25.31,99.91,9.166,286.468,8.50,
2023/11/28 07:05:14,0.163,19.506,0.059,0.106,120.207,998.352,-1.649,0.01,0.01,24.39,100.03,9.176,286.762,8.50,
2023/11/28 07:05:14,0.176,19.511,0.059,0.106,120.012,998.351,-1.650,0.03,0.03,25.76,100.03,9.176,286.754,8.49,
2023/11/28 07:05:14,0.176,19.515,0.059,0.106,120.111,998.350,-1.651,-0.03,-0.03,27.29,100.06,9.178,286.835,8.52,
2023/11/28 07:05:15,0.176,19.519,0.059,0.105,119.716,998.349,-1.652,0.03,0.03,27.61,99.92,9.165,286.418,8.51,
2023/11/28 07:05:15,0.176,19.522,0.059,0.105,119.473,998.349,-1.652,0.01,0.01,26.30,99.87,9.160,286.268,8.52,
2023/11/28 07:05:15,0.176,19.521,0.059,0.105,119.831,998.349,-1.652,0.03,0.03,25.99,99.81,9.156,286.141,8.50,
2023/11/28 07:05:15,0.176,19.520,0.059,0.105,119.858,998.349,-1.652,0.03,0.03,25.94,99.75,9.150,285.948,8.49,
2023/11/28 07:05:15,0.176,19.521,0.059,0.105,119.592,998.349,-1.652,0.08,0.08,25.52,99.68,9.143,285.735,8.51,
2023/11/28 07:05:15,0.176,19.523,0.059,0.105,119.894,998.349,-1.652,0.08,0.08,25.16,99.80,9.153,286.048,8.50,
2023/11/28 07:05:15,0.176,19.524,0.059,0.105,119.659,998.348,-1.653,0.03,0.03,24.24,99.84,9.156,286.154,8.50,
2023/11/28 07:05:15,0.176,19.526,0.059,0.105,119.456,998.348,-1.653,0.03,0.03,23.56,99.93,9.163,286.377,8.51,
2023/11/28 07:05:15,0.176,19.529,0.058,0.105,119.095,998.347,-1.654,0.05,0.05,23.81,99.91,9.162,286.316,8.51,
2023/11/28 07:05:15,0.176,19.531,0.059,0.105,119.243,998.347,-1.654,0.07,0.07,24.32,99.97,9.167,286.493,8.50,
2023/11/28 07:05:16,0.176,19.533,0.058,0.105,118.860,998.346,-1.655,0.09,0.09,24.35,99.82,9.153,286.051,8.51,
2023/11/28 07:05:16,0.176,19.536,0.058,0.105,119.088,998.346,-1.655,0.04,0.04,24.35,99.83,9.154,286.069,8.52,
2023/11/28 07:05:16,0.176,19.536,0.059,0.105,119.246,998.346,-1.655,0.09,0.09,24.57,99.77,9.148,285.900,8.50,
2023/11/28 07:05:16,0.176,19.537,0.058,0.105,118.945,998.345,-1.655,0.09,0.09,24.08,99.72,9.144,285.768,8.50,
2023/11/28 07:05:16,0.176,19.535,0.058,0.105,118.926,998.346,-1.655,0.07,0.07,23.56,99.85,9.156,286.140,8.52,
2023/11/28 07:05:16,0.176,19.536,0.058,0.105,118.971,998.346,-1.655,0.13,0.13,23.64,99.95,9.165,286.423,8.50,
2023/11/28 07:05:16,0.176,19.537,0.058,0.104,118.504,998.345,-1.656,0.08,0.08,24.06,99.84,9.155,286.104,8.50,
2023/11/28 07:05:16,0.176,19.538,0.058,0.104,118.754,998.345,-1.656,0.06,0.06,24.42,99.85,9.155,286.114,8.49,
2023/11/28 07:05:16,0.176,19.541,0.058,0.105,118.798,998.345,-1.656,0.03,0.03,25.33,99.84,9.154,286.080,8.50,
2023/11/28 07:05:16,0.176,19.544,0.058,0.104,118.479,998.344,-1.657,0.02,0.02,25.86,99.93,9.161,286.303,8.51,
2023/11/28 07:05:17,0.176,19.546,0.058,0.104,118.577,998.343,-1.657,0.01,0.01,26.41,100.02,9.170,286.594,8.51,
2023/11/28 07:05:17,0.176,19.549,0.058,0.104,118.337,998.343,-1.658,0.03,0.03,27.13,100.02,9.170,286.569,8.50,
2023/11/28 07:05:17,0.176,19.549,0.058,0.104,118.279,998.343,-1.658,0.09,0.09,26.80,100.00,9.168,286.524,8.49,
2023/11/28 07:05:17,0.176,19.547,0.058,0.104,118.346,998.343,-1.658,0.04,0.04,26.02,99.97,9.166,286.444,8.50,
2023/11/28 07:05:17,0.176,19.546,0.058,0.104,118.189,998.343,-1.657,0.03,0.03,25.20,99.96,9.165,286.417,8.49,
2023/11/28 07:05:17,0.176,19.545,0.058,0.104,118.193,998.343,-1.657,0.04,0.04,24.53,99.93,9.162,286.320,8.50,
2023/11/28 07:05:17,0.176,19.544,0.058,0.104,118.350,998.344,-1.657,0.00,0.00,24.23,99.84,9.154,286.071,8.51,
2023/11/28 07:05:17,0.176,19.541,0.058,0.104,118.387,998.344,-1.656,-0.04,-0.04,25.57,99.76,9.146,285.841,8.50,
2023/11/28 07:05:17,0.176,19.538,0.058,0.104,117.730,998.345,-1.656,0.00,0.00,28.77,99.85,9.156,286.141,8.50,
2023/11/28 07:05:17,0.176,19.537,0.058,0.104,118.226,998.345,-1.656,-0.03,-0.03,34.67,99.89,9.159,286.238,8.51,
2023/11/28 07:05:18,0.176,19.538,0.058,0.104,118.311,998.345,-1.656,-0.02,-0.02,39.85,99.86,9.156,286.132,8.51,
2023/11/28 07:05:18,0.190,19.540,0.058,0.104,118.464,998.345,-1.656,-0.03,-0.03,36.78,99.92,9.161,286.302,8.51,
2023/11/28 07:05:18,0.176,19.543,0.058,0.104,118.432,998.344,-1.657,-0.07,-0.07,38.08,99.86,9.155,286.116,8.50,
2023/11/28 07:05:18,0.176,19.543,0.058,0.104,118.043,998.344,-1.657,-0.09,-0.09,45.10,99.78,9.147,285.877,8.50,
2023/11/28 07:05:18,0.176,19.543,0.058,0.104,118.040,998.344,-1.657,-0.10,-0.10,44.35,99.79,9.149,285.912,8.51,
2023/11/28 07:05:18,0.176,19.543,0.058,0.104,118.175,998.344,-1.657,-0.06,-0.06,42.50,99.89,9.158,286.196,8.50,
2023/11/28 07:05:18,0.176,19.543,0.058,0.104,117.789,998.344,-1.657,-0.06,-0.06,38.19,99.94,9.162,286.338,8.51,
2023/11/28 07:05:18,0.176,19.544,0.058,0.104,118.070,998.344,-1.657,-0.08,-0.08,36.08,99.94,9.162,286.338,8.49,
2023/11/28 07:05:18,0.176,19.545,0.058,0.104,118.651,998.344,-1.657,-0.11,-0.11,32.77,99.91,9.160,286.257,8.51,
2023/11/28 07:05:18,0.190,19.544,0.058,0.104,118.390,998.344,-1.657,-0.07,-0.07,30.69,100.00,9.169,286.550,8.51,
2023/11/28 07:05:19,0.176,19.541,0.058,0.104,118.451,998.344,-1.656,-0.03,-0.03,28.73,99.83,9.153,286.035,8.51,
2023/11/28 07:05:19,0.176,19.540,0.058,0.104,118.474,998.345,-1.656,-0.02,-0.02,26.67,99.83,9.152,286.027,8.52,
2023/11/28 07:05:19,0.176,19.539,0.058,0.104,118.205,998.345,-1.656,-0.03,-0.03,23.35,99.89,9.159,286.239,8.50,
2023/11/28 07:05:19,0.176,19.538,0.058,0.104,118.414,998.345,-1.656,-0.07,-0.07,20.32,99.80,9.150,285.956,8.50,
2023/11/28 07:05:19,0.176,19.538,0.058,0.104,117.912,998.345,-1.656,0.06,0.06,18.65,99.79,9.149,285.929,8.52,
2023/11/28 07:05:19,0.176,19.540,0.058,0.105,118.861,998.345,-1.656,0.05,0.05,16.53,99.91,9.159,286.241,8.50,
2023/11/28 07:05:19,0.176,19.543,0.058,0.104,117.914,998.344,-1.657,0.03,0.03,15.53,99.97,9.165,286.428,8.50,
2023/11/28 07:05:19,0.176,19.543,0.058,0.104,118.058,998.344,-1.657,0.04,0.04,14.60,99.85,9.154,286.090,8.49,
2023/11/28 07:05:19,0.176,19.546,0.058,0.104,117.992,998.343,-1.658,0.07,0.07,13.63,99.77,9.145,285.801,8.52,
2023/11/28 07:05:19,0.190,19.549,0.058,0.103,117.596,998.343,-1.658,0.09,0.09,12.99,99.85,9.153,286.040,8.51,
2023/11/28 07:05:20,0.176,19.550,0.058,0.104,117.888,998.342,-1.658,0.05,0.05,12.67,99.89,9.156,286.137,8.51,
2023/11/28 07:05:20,0.176,19.551,0.058,0.104,117.727,998.342,-1.659,0.04,0.04,12.91,99.99,9.165,286.413,8.51,
2023/11/28 07:05:20,0.190,19.552,0.058,0.103,117.564,998.342,-1.659,0.04,0.04,14.86,99.93,9.160,286.271,8.52,
