// JOGOS
// Version 1.01
// File Date:2023/11/29 16:56:22
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=8240

StartTime=2023/11/28 11:49:03
EndTime=2023/11/28 12:02:46

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 11:49:03,0.190,20.820,0.069,0.128,141.332,998.086,-1.915,-0.57,-0.57,24.52,99.36,8.819,275.613,8.54,
2023/11/28 11:49:03,0.176,20.823,0.069,0.128,141.404,998.086,-1.915,-0.57,-0.57,24.27,99.36,8.818,275.565,8.54,
2023/11/28 11:49:03,0.176,20.824,0.069,0.128,141.329,998.085,-1.915,-0.51,-0.51,24.37,99.47,8.828,275.906,8.56,
2023/11/28 11:49:03,0.176,20.827,0.069,0.128,141.286,998.085,-1.916,-0.21,-0.21,24.10,99.49,8.830,275.965,8.52,
2023/11/28 11:49:03,0.176,20.830,0.069,0.128,141.132,998.084,-1.917,-0.13,-0.13,24.23,99.38,8.819,275.609,8.52,
2023/11/28 11:49:03,0.176,20.838,0.069,0.128,140.983,998.082,-1.919,-0.19,-0.19,24.84,99.37,8.817,275.551,8.49,
2023/11/28 11:49:03,0.176,20.843,0.069,0.128,140.886,998.081,-1.920,-0.37,-0.37,24.40,99.49,8.828,275.885,8.50,
2023/11/28 11:49:03,0.176,20.845,0.069,0.128,140.878,998.081,-1.920,-0.70,-0.70,24.94,99.51,8.832,276.009,8.51,
2023/11/28 11:49:03,0.176,20.850,0.069,0.128,140.899,998.080,-1.921,-0.42,-0.42,24.68,99.58,8.837,276.183,8.49,
2023/11/28 11:49:03,0.176,20.858,0.069,0.128,140.904,998.078,-1.923,-0.27,-0.27,23.82,99.50,8.831,275.992,8.50,
2023/11/28 11:49:04,0.176,20.864,0.069,0.128,140.628,998.077,-1.924,-0.06,-0.06,24.08,99.47,8.827,275.874,8.49,
2023/11/28 11:49:04,0.176,20.872,0.069,0.128,140.779,998.075,-1.926,-0.06,-0.06,23.71,99.68,8.846,276.444,8.49,
2023/11/28 11:49:04,0.176,20.878,0.069,0.128,140.602,998.073,-1.927,-0.38,-0.38,24.14,99.61,8.837,276.181,8.50,
2023/11/28 11:49:04,0.176,20.883,0.069,0.128,140.584,998.072,-1.928,-0.46,-0.46,23.53,99.69,8.846,276.445,8.49,
2023/11/28 11:49:04,0.176,20.887,0.069,0.128,140.533,998.071,-1.929,-0.28,-0.28,23.40,99.74,8.848,276.527,8.49,
2023/11/28 11:49:04,0.176,20.891,0.069,0.128,140.589,998.071,-1.930,-0.05,-0.05,23.48,99.70,8.845,276.416,8.48,
2023/11/28 11:49:04,0.176,20.898,0.069,0.128,140.333,998.069,-1.932,-0.06,-0.06,23.56,99.59,8.834,276.075,8.49,
2023/11/28 11:49:04,0.176,20.897,0.069,0.127,140.150,998.069,-1.932,-0.27,-0.27,24.16,99.46,8.825,275.792,8.50,
