// JOGOS
// Version 1.01
// File Date:2023/11/29 16:52:59
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=300

StartTime=2023/11/28 07:03:04
EndTime=2023/11/28 07:03:33

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:03:04,0.190,19.599,0.081,0.148,167.590,998.350,-1.651,0.12,0.12,11.50,99.91,9.156,286.153,8.60,
2023/11/28 07:03:04,0.176,19.605,0.081,0.148,167.841,998.349,-1.652,0.12,0.12,11.38,99.88,9.153,286.056,8.57,
2023/11/28 07:03:04,0.190,19.609,0.081,0.148,167.743,998.348,-1.653,0.03,0.03,10.98,99.86,9.151,285.977,8.55,
2023/11/28 07:03:04,0.176,19.611,0.081,0.148,167.540,998.347,-1.653,0.04,0.04,10.53,99.83,9.147,285.871,8.56,
2023/11/28 07:03:04,0.176,19.613,0.081,0.148,167.691,998.347,-1.654,0.03,0.03,10.23,99.86,9.150,285.969,8.56,
2023/11/28 07:03:04,0.176,19.613,0.081,0.148,167.716,998.347,-1.654,-0.02,-0.02,9.94,99.90,9.154,286.093,8.55,
2023/11/28 07:03:04,0.176,19.613,0.081,0.148,167.945,998.347,-1.654,0.09,0.09,10.12,99.92,9.157,286.171,8.55,
2023/11/28 07:03:04,0.176,19.613,0.081,0.148,168.219,998.347,-1.654,0.00,0.00,9.91,99.92,9.156,286.145,8.54,
2023/11/28 07:03:04,0.176,19.614,0.081,0.148,168.385,998.347,-1.654,0.03,0.03,10.09,99.89,9.153,286.056,8.55,
2023/11/28 07:03:04,0.176,19.614,0.081,0.148,168.411,998.347,-1.654,0.14,0.14,10.10,99.87,9.151,285.978,8.53,
2023/11/28 07:03:05,0.176,19.617,0.080,0.148,167.413,998.346,-1.655,0.15,0.15,9.80,99.98,9.161,286.298,8.53,
2023/11/28 07:03:05,0.176,19.619,0.080,0.147,166.306,998.345,-1.655,0.14,0.14,9.46,99.92,9.155,286.122,8.52,
2023/11/28 07:03:05,0.176,19.622,0.079,0.146,165.131,998.344,-1.656,0.27,0.27,9.96,99.88,9.152,286.024,8.53,
2023/11/28 07:03:05,0.176,19.622,0.079,0.145,164.178,998.344,-1.657,0.33,0.33,9.86,99.92,9.156,286.131,8.52,
2023/11/28 07:03:05,0.176,19.622,0.079,0.145,164.304,998.344,-1.657,0.21,0.21,9.26,99.85,9.151,285.987,8.53,
2023/11/28 07:03:05,0.176,19.619,0.079,0.145,164.048,998.344,-1.656,0.16,0.16,8.61,99.87,9.152,286.031,8.51,
2023/11/28 07:03:05,0.176,19.616,0.079,0.144,163.843,998.345,-1.656,0.14,0.14,8.18,99.81,9.148,285.880,8.53,
2023/11/28 07:03:05,0.176,19.614,0.079,0.145,163.998,998.346,-1.655,0.05,0.05,8.13,99.84,9.151,285.977,8.52,
