// JOGOS
// Version 1.01
// File Date:2023/11/29 16:52:55
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=940

StartTime=2023/11/28 06:59:01
EndTime=2023/11/28 07:00:34

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 06:59:01,0.190,19.546,0.045,0.078,88.348,998.333,-1.668,0.04,0.04,12.08,100.42,9.151,285.994,8.59,
2023/11/28 06:59:01,0.176,19.548,0.045,0.078,88.487,998.333,-1.668,0.12,0.12,10.98,100.51,9.160,286.260,8.57,
2023/11/28 06:59:01,0.176,19.548,0.045,0.078,88.341,998.333,-1.668,0.10,0.10,9.34,100.60,9.168,286.509,8.58,
2023/11/28 06:59:01,0.176,19.548,0.045,0.078,88.213,998.333,-1.668,0.12,0.12,7.54,100.57,9.166,286.446,8.55,
2023/11/28 06:59:01,0.163,19.549,0.045,0.078,88.105,998.332,-1.668,-0.01,-0.01,5.96,100.59,9.168,286.508,8.56,
2023/11/28 06:59:01,0.176,19.548,0.045,0.078,88.102,998.333,-1.668,0.03,0.03,4.75,100.61,9.169,286.553,8.55,
2023/11/28 06:59:01,0.176,19.546,0.045,0.078,88.219,998.333,-1.668,-0.02,-0.02,4.18,100.52,9.161,286.304,8.55,
2023/11/28 06:59:01,0.176,19.544,0.045,0.078,88.227,998.333,-1.667,-0.01,-0.01,3.82,100.50,9.159,286.250,8.54,
2023/11/28 06:59:01,0.176,19.544,0.045,0.078,88.235,998.334,-1.667,0.07,0.07,3.74,100.50,9.159,286.225,8.54,
2023/11/28 06:59:01,0.176,19.542,0.045,0.077,88.070,998.334,-1.667,0.09,0.09,3.75,100.60,9.168,286.509,8.53,
2023/11/28 06:59:02,0.163,19.540,0.045,0.077,88.068,998.334,-1.667,-0.01,-0.01,3.88,100.51,9.160,286.268,8.55,
2023/11/28 06:59:02,0.176,19.539,0.045,0.077,87.917,998.334,-1.666,0.03,0.03,3.83,100.53,9.162,286.331,8.55,
2023/11/28 06:59:02,0.163,19.538,0.045,0.077,88.021,998.335,-1.666,0.02,0.02,3.77,100.67,9.175,286.730,8.53,
2023/11/28 06:59:02,0.176,19.535,0.045,0.077,88.047,998.335,-1.666,0.00,0.00,3.83,100.64,9.173,286.667,8.52,
2023/11/28 06:59:02,0.176,19.533,0.045,0.077,88.024,998.336,-1.665,-0.03,-0.03,3.60,100.67,9.176,286.764,8.53,
2023/11/28 06:59:02,0.176,19.531,0.045,0.077,87.976,998.336,-1.665,-0.08,-0.08,3.87,100.54,9.165,286.424,8.53,
2023/11/28 06:59:02,0.176,19.531,0.045,0.077,87.924,998.336,-1.665,0.07,0.07,4.64,100.45,9.156,286.158,8.51,
2023/11/28 06:59:02,0.163,19.530,0.045,0.077,87.936,998.336,-1.665,-0.04,-0.04,6.32,100.51,9.162,286.335,8.52,
