// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:44
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=420

StartTime=2023/11/28 07:28:26
EndTime=2023/11/28 07:29:07

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:28:26,0.190,19.821,0.059,0.106,119.524,998.288,-1.713,0.03,0.03,12.97,99.92,9.106,284.595,8.56,
2023/11/28 07:28:26,0.176,19.820,0.060,0.108,122.117,998.289,-1.712,-0.02,-0.02,13.12,99.94,9.107,284.620,8.56,
2023/11/28 07:28:26,0.176,19.819,0.059,0.107,120.905,998.289,-1.712,-0.03,-0.03,13.13,99.94,9.107,284.612,8.56,
2023/11/28 07:28:26,0.176,19.820,0.059,0.107,120.322,998.288,-1.712,-0.07,-0.07,13.02,99.90,9.103,284.490,8.56,
2023/11/28 07:28:26,0.176,19.822,0.059,0.106,120.110,998.288,-1.713,-0.05,-0.05,12.84,99.95,9.108,284.640,8.55,
2023/11/28 07:28:26,0.176,19.824,0.059,0.106,119.252,998.287,-1.714,-0.03,-0.03,12.89,99.93,9.105,284.554,8.53,
2023/11/28 07:28:26,0.176,19.824,0.058,0.105,118.430,998.287,-1.714,-0.04,-0.04,12.76,99.87,9.100,284.404,8.53,
2023/11/28 07:28:26,0.176,19.825,0.058,0.104,117.705,998.287,-1.714,-0.05,-0.05,12.84,99.90,9.103,284.476,8.53,
2023/11/28 07:28:26,0.163,19.826,0.058,0.105,118.103,998.286,-1.714,-0.05,-0.05,13.05,99.99,9.110,284.706,8.50,
2023/11/28 07:28:26,0.176,19.828,0.058,0.104,117.208,998.286,-1.715,0.07,0.07,13.00,99.96,9.107,284.618,8.51,
2023/11/28 07:28:27,0.163,19.831,0.058,0.104,117.005,998.285,-1.716,0.26,0.26,12.81,100.00,9.111,284.734,8.51,
2023/11/28 07:28:27,0.176,19.835,0.057,0.103,116.343,998.284,-1.717,0.09,0.09,12.41,99.82,9.094,284.207,8.49,
2023/11/28 07:28:27,0.176,19.838,0.057,0.103,116.278,998.283,-1.717,-0.03,-0.03,12.45,99.98,9.108,284.648,8.52,
2023/11/28 07:28:27,0.176,19.841,0.058,0.104,117.312,998.283,-1.718,-0.07,-0.07,12.54,99.89,9.099,284.349,8.50,
2023/11/28 07:28:27,0.176,19.845,0.057,0.103,115.751,998.282,-1.719,-0.15,-0.15,12.30,99.76,9.086,283.957,8.50,
2023/11/28 07:28:27,0.176,19.849,0.057,0.102,115.240,998.281,-1.720,-0.16,-0.16,12.30,99.74,9.083,283.862,8.50,
2023/11/28 07:28:27,0.176,19.855,0.057,0.102,115.420,998.280,-1.721,-0.03,-0.03,12.40,99.90,9.098,284.329,8.51,
2023/11/28 07:28:27,0.176,19.860,0.057,0.102,114.744,998.278,-1.723,-0.09,-0.09,12.41,99.97,9.103,284.497,8.51,
2023/11/28 07:28:27,0.176,19.864,0.056,0.101,114.155,998.277,-1.724,-0.04,-0.04,12.88,100.07,9.111,284.747,8.50,
2023/11/28 07:28:27,0.176,19.869,0.058,0.104,117.440,998.277,-1.723,-0.08,-0.08,13.24,100.03,9.107,284.613,8.50,
2023/11/28 07:28:28,0.163,19.870,0.059,0.106,119.380,998.278,-1.723,0.12,0.12,13.16,99.86,9.093,284.161,8.51,
2023/11/28 07:28:28,0.176,19.871,0.058,0.105,118.328,998.277,-1.724,0.08,0.08,12.97,99.79,9.087,283.984,8.49,
2023/11/28 07:28:28,0.176,19.872,0.057,0.103,116.346,998.276,-1.724,0.09,0.09,13.18,99.80,9.088,284.011,8.49,
2023/11/28 07:28:28,0.176,19.874,0.058,0.104,116.758,998.276,-1.725,-0.03,-0.03,13.37,99.82,9.090,284.072,8.51,
2023/11/28 07:28:28,0.176,19.873,0.058,0.105,118.189,998.277,-1.724,0.06,0.06,13.34,99.85,9.092,284.152,8.52,
2023/11/28 07:28:28,0.176,19.874,0.057,0.103,115.927,998.276,-1.725,0.10,0.10,13.21,99.88,9.095,284.241,8.50,
2023/11/28 07:28:28,0.176,19.874,0.056,0.101,114.358,998.275,-1.725,0.12,0.12,12.92,99.85,9.092,284.129,8.50,
2023/11/28 07:28:28,0.163,19.875,0.056,0.101,113.506,998.275,-1.726,0.03,0.03,12.92,99.82,9.089,284.042,8.50,
2023/11/28 07:28:28,0.163,19.875,0.060,0.109,123.027,998.278,-1.723,0.06,0.06,12.69,99.84,9.090,284.096,8.51,
2023/11/28 07:28:28,0.176,19.874,0.062,0.112,126.524,998.280,-1.721,0.08,0.08,12.38,99.86,9.092,284.146,8.51,
2023/11/28 07:28:29,0.176,19.873,0.061,0.110,123.977,998.279,-1.722,0.04,0.04,12.24,99.85,9.092,284.156,8.51,
2023/11/28 07:28:29,0.163,19.872,0.059,0.107,120.421,998.278,-1.723,0.07,0.07,12.53,99.91,9.098,284.318,8.49,
2023/11/28 07:28:29,0.176,19.871,0.058,0.105,118.146,998.277,-1.724,0.20,0.20,12.45,99.79,9.087,284.001,8.49,
2023/11/28 07:28:29,0.163,19.872,0.061,0.109,123.338,998.279,-1.722,0.29,0.29,12.37,99.83,9.090,284.094,8.50,
2023/11/28 07:28:29,0.163,19.872,0.059,0.106,119.382,998.277,-1.723,0.15,0.15,12.13,99.81,9.089,284.036,8.50,
