// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:06
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=390

StartTime=2023/11/28 07:07:12
EndTime=2023/11/28 07:07:50

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:07:12,0.204,19.490,0.068,0.123,140.357,998.362,-1.639,0.07,0.07,5.42,99.86,9.157,286.174,8.59,
2023/11/28 07:07:12,0.176,19.489,0.068,0.123,139.924,998.362,-1.639,0.00,0.00,5.61,99.99,9.169,286.547,8.58,
2023/11/28 07:07:12,0.176,19.488,0.068,0.122,139.215,998.362,-1.639,-0.02,-0.02,6.08,99.92,9.163,286.353,8.55,
2023/11/28 07:07:12,0.176,19.488,0.066,0.120,136.918,998.361,-1.639,-0.02,-0.02,7.02,99.94,9.165,286.417,8.55,
2023/11/28 07:07:12,0.176,19.490,0.067,0.121,137.288,998.361,-1.640,0.07,0.07,8.37,99.96,9.165,286.436,8.55,
2023/11/28 07:07:12,0.176,19.491,0.066,0.119,135.672,998.360,-1.640,0.14,0.14,8.34,99.86,9.156,286.145,8.56,
2023/11/28 07:07:12,0.176,19.493,0.066,0.120,136.112,998.360,-1.641,0.13,0.13,8.32,99.82,9.153,286.055,8.55,
2023/11/28 07:07:12,0.176,19.494,0.066,0.119,135.496,998.360,-1.641,0.08,0.08,8.48,99.95,9.165,286.410,8.55,
2023/11/28 07:07:12,0.176,19.496,0.066,0.120,136.028,998.360,-1.641,0.03,0.03,8.86,99.96,9.165,286.420,8.53,
2023/11/28 07:07:12,0.176,19.496,0.066,0.119,135.937,998.360,-1.641,0.03,0.03,9.50,100.05,9.174,286.694,8.54,
2023/11/28 07:07:13,0.176,19.495,0.066,0.119,134.832,998.359,-1.642,0.04,0.04,9.77,99.89,9.160,286.260,8.52,
2023/11/28 07:07:13,0.176,19.495,0.066,0.119,134.947,998.359,-1.642,0.03,0.03,9.82,100.00,9.169,286.545,8.54,
2023/11/28 07:07:13,0.176,19.497,0.065,0.117,133.494,998.359,-1.642,0.02,0.02,9.56,100.04,9.172,286.636,8.52,
2023/11/28 07:07:13,0.176,19.500,0.065,0.117,133.030,998.358,-1.643,0.05,0.05,9.26,100.05,9.171,286.621,8.52,
2023/11/28 07:07:13,0.176,19.501,0.065,0.117,132.781,998.357,-1.643,0.05,0.05,9.10,100.11,9.176,286.764,8.53,
2023/11/28 07:07:13,0.176,19.505,0.065,0.117,133.081,998.357,-1.644,0.08,0.08,9.10,100.00,9.166,286.445,8.50,
2023/11/28 07:07:13,0.176,19.510,0.064,0.116,132.321,998.355,-1.645,0.01,0.01,8.99,99.88,9.154,286.082,8.52,
2023/11/28 07:07:13,0.176,19.513,0.064,0.116,131.812,998.355,-1.646,-0.09,-0.09,8.91,99.93,9.160,286.260,8.52,
2023/11/28 07:07:13,0.190,19.514,0.064,0.116,132.082,998.355,-1.646,0.01,0.01,9.27,99.85,9.153,286.045,8.50,
