// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:25
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=410

StartTime=2023/11/28 07:20:00
EndTime=2023/11/28 07:20:40

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:20:00,0.190,19.685,0.082,0.150,170.415,998.333,-1.667,0.24,0.24,11.30,99.88,9.119,284.998,8.58,
2023/11/28 07:20:00,0.176,19.686,0.082,0.150,170.046,998.333,-1.668,0.13,0.13,11.11,99.83,9.115,284.866,8.58,
2023/11/28 07:20:00,0.163,19.686,0.082,0.150,170.107,998.333,-1.668,0.18,0.18,10.98,99.98,9.128,285.273,8.55,
2023/11/28 07:20:00,0.176,19.685,0.083,0.152,172.163,998.334,-1.667,0.21,0.21,10.63,99.94,9.126,285.208,8.56,
2023/11/28 07:20:00,0.163,19.684,0.081,0.149,168.777,998.333,-1.668,0.34,0.34,10.72,99.79,9.111,284.727,8.53,
2023/11/28 07:20:00,0.176,19.683,0.081,0.149,168.623,998.333,-1.668,0.25,0.25,10.96,99.85,9.118,284.954,8.55,
2023/11/28 07:20:00,0.163,19.682,0.080,0.146,165.594,998.332,-1.668,0.32,0.32,10.91,99.85,9.117,284.938,8.54,
2023/11/28 07:20:00,0.163,19.679,0.080,0.146,165.293,998.333,-1.668,0.24,0.24,10.85,99.88,9.122,285.070,8.53,
2023/11/28 07:20:00,0.163,19.677,0.080,0.147,166.258,998.334,-1.667,0.17,0.17,10.88,99.89,9.122,285.088,8.54,
2023/11/28 07:20:00,0.163,19.677,0.080,0.147,165.977,998.333,-1.667,0.19,0.19,11.01,99.81,9.114,284.841,8.53,
2023/11/28 07:20:01,0.163,19.678,0.079,0.145,164.591,998.333,-1.668,0.10,0.10,10.96,99.95,9.126,285.206,8.51,
2023/11/28 07:20:01,0.176,19.680,0.078,0.144,162.658,998.332,-1.669,0.19,0.19,10.64,99.96,9.128,285.259,8.52,
2023/11/28 07:20:01,0.176,19.681,0.078,0.144,162.534,998.331,-1.669,0.14,0.14,10.52,99.94,9.126,285.207,8.52,
2023/11/28 07:20:01,0.163,19.682,0.079,0.144,163.630,998.332,-1.669,0.07,0.07,10.61,99.84,9.117,284.914,8.53,
2023/11/28 07:20:01,0.163,19.682,0.079,0.145,163.903,998.332,-1.669,-0.04,-0.04,10.80,99.76,9.109,284.659,8.53,
2023/11/28 07:20:01,0.163,19.683,0.079,0.145,164.586,998.332,-1.669,0.10,0.10,11.01,99.90,9.121,285.064,8.51,
2023/11/28 07:20:01,0.163,19.685,0.081,0.149,168.484,998.333,-1.668,0.14,0.14,10.47,99.86,9.118,284.956,8.51,
2023/11/28 07:20:01,0.163,19.687,0.082,0.151,170.760,998.333,-1.668,0.14,0.14,9.39,99.92,9.123,285.113,8.51,
