// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:10
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=380

StartTime=2023/11/28 07:11:25
EndTime=2023/11/28 07:12:02

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:11:25,0.190,19.761,0.067,0.121,136.867,998.306,-1.695,2.08,2.08,9.24,99.89,9.128,285.277,8.58,
2023/11/28 07:11:25,0.176,19.763,0.067,0.121,137.012,998.306,-1.695,2.05,2.05,9.77,100.00,9.137,285.561,8.58,
2023/11/28 07:11:25,0.163,19.764,0.067,0.121,137.257,998.306,-1.695,2.08,2.08,9.64,99.91,9.128,285.263,8.56,
2023/11/28 07:11:25,0.163,19.766,0.066,0.121,136.259,998.305,-1.696,1.98,1.98,9.66,99.96,9.132,285.405,8.55,
2023/11/28 07:11:25,0.176,19.771,0.066,0.121,136.177,998.304,-1.697,2.05,2.05,9.78,99.95,9.130,285.336,8.55,
2023/11/28 07:11:25,0.163,19.776,0.066,0.120,135.359,998.303,-1.698,1.98,1.98,9.97,99.97,9.131,285.373,8.54,
2023/11/28 07:11:25,0.163,19.782,0.066,0.119,134.781,998.301,-1.700,1.91,1.91,10.34,99.99,9.132,285.393,8.55,
2023/11/28 07:11:25,0.176,19.786,0.065,0.119,134.444,998.300,-1.701,1.93,1.93,10.31,100.05,9.137,285.555,8.56,
2023/11/28 07:11:25,0.176,19.790,0.065,0.119,133.898,998.299,-1.702,1.95,1.95,10.29,99.93,9.127,285.227,8.53,
2023/11/28 07:11:25,0.163,19.793,0.065,0.119,134.179,998.299,-1.702,1.95,1.95,10.05,99.86,9.121,285.040,8.53,
2023/11/28 07:11:26,0.163,19.795,0.065,0.119,134.356,998.298,-1.702,1.95,1.95,9.78,99.95,9.128,285.271,8.54,
2023/11/28 07:11:26,0.163,19.798,0.065,0.119,133.881,998.298,-1.703,1.97,1.97,9.96,99.99,9.130,285.337,8.53,
2023/11/28 07:11:26,0.176,19.800,0.065,0.119,134.129,998.297,-1.704,2.10,2.10,10.18,100.00,9.131,285.372,8.53,
2023/11/28 07:11:26,0.163,19.800,0.065,0.118,133.651,998.297,-1.704,2.10,2.10,10.34,100.08,9.138,285.593,8.52,
2023/11/28 07:11:26,0.163,19.800,0.065,0.118,133.167,998.297,-1.704,1.96,1.96,10.56,99.93,9.125,285.177,8.52,
2023/11/28 07:11:26,0.176,19.801,0.065,0.118,132.785,998.297,-1.704,1.94,1.94,10.52,99.87,9.119,285.001,8.51,
2023/11/28 07:11:26,0.176,19.801,0.065,0.118,132.706,998.297,-1.704,2.00,2.00,10.40,100.01,9.132,285.391,8.50,
2023/11/28 07:11:26,0.163,19.802,0.065,0.117,132.612,998.296,-1.704,1.99,1.99,10.37,99.89,9.121,285.046,8.50,
